1,
0, 2786, 4,
1.1598049576e+00, 4.0054712336e+01, 5.6520722147e-02, 2.5081996745e+05, 
1.1595490316e+00, 4.0282606456e+01, 1.0773330865e-01, 2.5073239604e+05, 
1.1595534871e+00, 4.0272382015e+01, 6.1026743678e-02, 2.5073532319e+05, 
1.1595239681e+00, 4.0267986432e+01, 3.6988896035e-02, 2.5072893499e+05, 
1.1595019549e+00, 4.0269243292e+01, 2.3595618747e-02, 2.5072299140e+05, 
1.1594852697e+00, 4.0270993532e+01, 1.5842536645e-02, 2.5071853612e+05, 
1.1594731557e+00, 4.0273214129e+01, 1.1102062505e-02, 2.5071519299e+05, 
1.1594640912e+00, 4.0275604282e+01, 8.2277409318e-03, 2.5071261921e+05, 
1.1594563628e+00, 4.0277813474e+01, 6.5182707449e-03, 2.5071040560e+05, 
1.1594494078e+00, 4.0279881534e+01, 5.4496455734e-03, 2.5070840333e+05, 
1.1594429153e+00, 4.0281859625e+01, 4.7553468152e-03, 2.5070652664e+05, 
1.1594364471e+00, 4.0283845833e+01, 4.2649587245e-03, 2.5070465905e+05, 
1.1594306282e+00, 4.0285614575e+01, 4.1246440262e-03, 2.5070296801e+05, 
1.1594224212e+00, 4.0288070961e+01, 3.8443933651e-03, 2.5070062070e+05, 
1.1596793596e+00, 3.9945549453e+01, 6.2430830080e-02, 2.5079034717e+05, 
1.1594781491e+00, 4.0299340636e+01, 1.3995345280e-01, 2.5071795752e+05, 
1.1594814014e+00, 4.0308993258e+01, 1.1263803469e-01, 2.5072171113e+05, 
1.1594982309e+00, 4.0288292298e+01, 7.5484363864e-02, 2.5072301740e+05, 
1.1594871604e+00, 4.0280130082e+01, 5.0158790175e-02, 2.5071982945e+05, 
1.1594772485e+00, 4.0277147960e+01, 3.4260893029e-02, 2.5071680643e+05, 
1.1594687298e+00, 4.0276845844e+01, 2.4841923307e-02, 2.5071423590e+05, 
1.1594613775e+00, 4.0277656244e+01, 1.9258125361e-02, 2.5071202238e+05, 
1.1594545991e+00, 4.0279045174e+01, 1.5839647278e-02, 2.5071000891e+05, 
1.1594481009e+00, 4.0280698505e+01, 1.3580831280e-02, 2.5070810338e+05, 
1.1594418761e+00, 4.0282432256e+01, 1.2016093846e-02, 2.5070628281e+05, 
1.1594355575e+00, 4.0284222459e+01, 1.0912869635e-02, 2.5070444929e+05, 
