1,
0, 1881, 4,
1.1578541840e+00, 3.6957295267e+01, 2.4240908433e-02, 2.5062634010e+05, 
1.1592632793e+00, 3.9841114208e+01, 7.1372697592e-02, 2.5068903538e+05, 
1.1594313535e+00, 4.0209403101e+01, 7.8291798030e-02, 2.5070531017e+05, 
1.1594407304e+00, 4.0271943070e+01, 8.0732641127e-02, 2.5070718357e+05, 
1.1594486669e+00, 4.0285955543e+01, 8.0936862572e-02, 2.5070760721e+05, 
1.1594491466e+00, 4.0289561378e+01, 8.0733437768e-02, 2.5070744023e+05, 
1.1594486600e+00, 4.0289633707e+01, 8.0361952351e-02, 2.5070716203e+05, 
1.1594474772e+00, 4.0289019212e+01, 7.9982964895e-02, 2.5070681899e+05, 
1.1594460094e+00, 4.0288839603e+01, 7.9609091215e-02, 2.5070645126e+05, 
1.1594444075e+00, 4.0288858360e+01, 7.9229537956e-02, 2.5070605499e+05, 
1.1594426561e+00, 4.0288876989e+01, 7.8843294036e-02, 2.5070562140e+05, 
1.1594407450e+00, 4.0288883936e+01, 7.8456597949e-02, 2.5070514600e+05, 
1.1594386335e+00, 4.0288885500e+01, 7.8078031269e-02, 2.5070462479e+05, 
1.1594363531e+00, 4.0288884885e+01, 7.7718669393e-02, 2.5070405353e+05, 
1.1594337916e+00, 4.0288880602e+01, 7.7391697238e-02, 2.5070342727e+05, 
1.1594311325e+00, 4.0288873944e+01, 7.7113075707e-02, 2.5070274573e+05, 
1.1594279942e+00, 4.0288861739e+01, 7.6882023180e-02, 2.5070199899e+05, 
1.1594255136e+00, 4.0288859434e+01, 7.6721602395e-02, 2.5070126780e+05, 
1.1594213917e+00, 4.0288866851e+01, 7.6336053200e-02, 2.5070027914e+05, 
1.1575086750e+00, 3.3256847885e+01, 3.0798169559e-02, 2.5051511324e+05, 
1.1587598998e+00, 3.8909717760e+01, 9.5254751203e-02, 2.5065435701e+05, 
1.1592992373e+00, 3.9964505933e+01, 1.1039744601e-01, 2.5069017355e+05, 
1.1594054000e+00, 4.0213818718e+01, 1.1523273248e-01, 2.5069895385e+05, 
1.1594245267e+00, 4.0279728303e+01, 1.1658646435e-01, 2.5070132683e+05, 
1.1594252920e+00, 4.0297819252e+01, 1.1681883940e-01, 2.5070196110e+05, 
1.1594248169e+00, 4.0301349132e+01, 1.1663892728e-01, 2.5070201010e+05, 
1.1594227069e+00, 4.0300250957e+01, 1.1628750639e-01, 2.5070191122e+05, 
1.1594230566e+00, 4.0299225599e+01, 1.1589611513e-01, 2.5070179436e+05, 
1.1594222131e+00, 4.0298056224e+01, 1.1551510409e-01, 2.5070167657e+05, 
1.1594229197e+00, 4.0297291715e+01, 1.1515372452e-01, 2.5070154873e+05, 
1.1594218961e+00, 4.0296481927e+01, 1.1479272680e-01, 2.5070141205e+05, 
1.1594229291e+00, 4.0295687824e+01, 1.1443387941e-01, 2.5070126427e+05, 
1.1594215530e+00, 4.0294732448e+01, 1.1408304287e-01, 2.5070110078e+05, 
1.1594226669e+00, 4.0293785709e+01, 1.1375079227e-01, 2.5070092291e+05, 
1.1594211175e+00, 4.0292624754e+01, 1.1345310489e-01, 2.5070072651e+05, 
