0, 3000, 4,
1.1598049576e+00, 4.0054712336e+01, 5.6520722147e-02, 2.5081996745e+05, 
1.1574088407e+00, 3.2057123734e+00, -7.4555807858e-04, 2.5000162116e+05, 
1.1594196289e+00, 4.0315482616e+01, -5.2004375290e-02, 2.5070078934e+05, 
1.1594224212e+00, 4.0288070961e+01, 3.8443933651e-03, 2.5070062070e+05, 
1.1597432583e+00, 4.0001086723e+01, 5.9424027319e-02, 2.5080541667e+05, 
1.1596487993e+00, 3.9881410567e+01, 6.1489263657e-02, 2.5078333588e+05, 
1.1595986437e+00, 3.9748245576e+01, 5.9944284211e-02, 2.5077183299e+05, 
1.1595655239e+00, 3.9609575749e+01, 5.9251347507e-02, 2.5076391534e+05, 
1.1595399780e+00, 3.9466488201e+01, 5.9095531370e-02, 2.5075718631e+05, 
1.1595182078e+00, 3.9319636310e+01, 5.9032131596e-02, 2.5075095347e+05, 
1.1594981066e+00, 3.9169349271e+01, 5.9059648081e-02, 2.5074483336e+05, 
1.1594786219e+00, 3.9015651132e+01, 5.9132775407e-02, 2.5073869791e+05, 
1.1594588138e+00, 3.8858464511e+01, 5.9208720011e-02, 2.5073252308e+05, 
1.1594383229e+00, 3.8697696718e+01, 5.9293329314e-02, 2.5072627960e+05, 
1.1594176975e+00, 3.8533267066e+01, 5.9370943118e-02, 2.5071998315e+05, 
1.1593964375e+00, 3.8365095814e+01, 5.9430045861e-02, 2.5071365617e+05, 
1.1593743294e+00, 3.8193141707e+01, 5.9477343656e-02, 2.5070729625e+05, 
1.1593523198e+00, 3.8017395573e+01, 5.9521431251e-02, 2.5070089271e+05, 
1.1593306090e+00, 3.7837789953e+01, 5.9584274931e-02, 2.5069441897e+05, 
1.1593090957e+00, 3.7654212937e+01, 5.9660029591e-02, 2.5068787290e+05, 
1.1592878141e+00, 3.7466571016e+01, 5.9726034591e-02, 2.5068127650e+05, 
1.1592667429e+00, 3.7274798249e+01, 5.9785340201e-02, 2.5067463152e+05, 
1.1592458022e+00, 3.7078825830e+01, 5.9845048479e-02, 2.5066792929e+05, 
