1,
0, 1881, 4,
1.1592921906e+00, 3.6648477765e+01, 2.9456580626e-02, 2.5061562237e+05, 
1.1595667648e+00, 3.9828137064e+01, 8.7634262644e-02, 2.5069055625e+05, 
1.1594796300e+00, 4.0212236097e+01, 9.6019758392e-02, 2.5070712494e+05, 
1.1594577034e+00, 4.0274992467e+01, 9.8587325364e-02, 2.5070920503e+05, 
1.1594544890e+00, 4.0288141531e+01, 9.8653628584e-02, 2.5070952104e+05, 
1.1594520800e+00, 4.0290995862e+01, 9.8229237060e-02, 2.5070928628e+05, 
1.1594503012e+00, 4.0289969656e+01, 9.7658620023e-02, 2.5070890501e+05, 
1.1594486388e+00, 4.0289382190e+01, 9.7104067302e-02, 2.5070847838e+05, 
1.1594469974e+00, 4.0289232428e+01, 9.6545578228e-02, 2.5070802527e+05, 
1.1594452958e+00, 4.0289163480e+01, 9.5976842263e-02, 2.5070753291e+05, 
1.1594434839e+00, 4.0289090418e+01, 9.5403966559e-02, 2.5070699537e+05, 
1.1594415183e+00, 4.0289093556e+01, 9.4835038999e-02, 2.5070640840e+05, 
1.1594393797e+00, 4.0289090906e+01, 9.4277841075e-02, 2.5070576631e+05, 
1.1594370443e+00, 4.0289079996e+01, 9.3749029517e-02, 2.5070506328e+05, 
1.1594344917e+00, 4.0289065954e+01, 9.3267346447e-02, 2.5070429407e+05, 
1.1594317160e+00, 4.0289040696e+01, 9.2852930176e-02, 2.5070345689e+05, 
1.1594286980e+00, 4.0288981569e+01, 9.2504426213e-02, 2.5070254410e+05, 
1.1594256960e+00, 4.0288944458e+01, 9.2250522379e-02, 2.5070163933e+05, 
1.1594215748e+00, 4.0288921419e+01, 9.1608123427e-02, 2.5070039754e+05, 
1.1579406557e+00, 3.2029378154e+01, 3.8530477429e-02, 2.5047932205e+05, 
1.1591840752e+00, 3.8674919015e+01, 1.2090329180e-01, 2.5064780043e+05, 
1.1594332108e+00, 3.9929401505e+01, 1.4019626060e-01, 2.5068944188e+05, 
1.1594376667e+00, 4.0216790031e+01, 1.4580481633e-01, 2.5069979615e+05, 
1.1594277989e+00, 4.0288945502e+01, 1.4722675904e-01, 2.5070241864e+05, 
1.1594277692e+00, 4.0307356706e+01, 1.4728571894e-01, 2.5070304654e+05, 
1.1594279050e+00, 4.0309016201e+01, 1.4683524838e-01, 2.5070300493e+05, 
1.1594276070e+00, 4.0307628902e+01, 1.4617170094e-01, 2.5070286163e+05, 
1.1594272161e+00, 4.0306095969e+01, 1.4546157639e-01, 2.5070269796e+05, 
1.1594267703e+00, 4.0304747474e+01, 1.4473916944e-01, 2.5070251799e+05, 
1.1594263227e+00, 4.0302994637e+01, 1.4402485083e-01, 2.5070232256e+05, 
1.1594258012e+00, 4.0301620618e+01, 1.4333173938e-01, 2.5070211772e+05, 
1.1594252355e+00, 4.0300215264e+01, 1.4264960673e-01, 2.5070189839e+05, 
1.1594246158e+00, 4.0298720842e+01, 1.4198763076e-01, 2.5070165963e+05, 
1.1594239372e+00, 4.0297130663e+01, 1.4136085615e-01, 2.5070139980e+05, 
1.1594231871e+00, 4.0295411906e+01, 1.4079119085e-01, 2.5070111398e+05, 
1.1594223444e+00, 4.0293582334e+01, 1.4032421084e-01, 2.5070080270e+05, 
1.1594215471e+00, 4.0292133960e+01, 1.4000164193e-01, 2.5070050416e+05, 
1.1594205680e+00, 4.0289968090e+01, 1.3969564018e-01, 2.5070013600e+05, 
1.1570459434e+00, 2.6856339044e+01, 4.1559234943e-02, 2.5034978343e+05, 
1.1587332191e+00, 3.6999967845e+01, 1.3866905021e-01, 2.5059299672e+05, 
1.1593375554e+00, 3.9461384696e+01, 1.6536434086e-01, 2.5067259131e+05, 
1.1594242777e+00, 4.0098419624e+01, 1.7386194654e-01, 2.5069476623e+05, 
1.1594273695e+00, 4.0267674819e+01, 1.7631497659e-01, 2.5070082871e+05, 
1.1594258087e+00, 4.0313200971e+01, 1.7677655091e-01, 2.5070247298e+05, 
1.1594254318e+00, 4.0325558695e+01, 1.7649899644e-01, 2.5070285431e+05, 
1.1594252536e+00, 4.0326500262e+01, 1.7585191407e-01, 2.5070281967e+05, 
1.1594250349e+00, 4.0323897179e+01, 1.7507739254e-01, 2.5070266372e+05, 
1.1594247165e+00, 4.0321396034e+01, 1.7425882665e-01, 2.5070248264e+05, 
1.1594244393e+00, 4.0317397538e+01, 1.7344384227e-01, 2.5070225997e+05, 
1.1594240808e+00, 4.0314486025e+01, 1.7266321714e-01, 2.5070205083e+05, 
1.1594236988e+00, 4.0311648150e+01, 1.7189506820e-01, 2.5070183689e+05, 
1.1594232781e+00, 4.0308705967e+01, 1.7115075123e-01, 2.5070160770e+05, 
1.1594228156e+00, 4.0305600613e+01, 1.7044323500e-01, 2.5070136025e+05, 
1.1594223106e+00, 4.0302213704e+01, 1.6979553807e-01, 2.5070109023e+05, 
1.1594217548e+00, 4.0298409561e+01, 1.6924398807e-01, 2.5070079255e+05, 
1.1594212240e+00, 4.0295214528e+01, 1.6885845412e-01, 2.5070051910e+05, 
1.1594205430e+00, 4.0290776923e+01, 1.6854637518e-01, 2.5070016029e+05, 
1.1565897919e+00, 2.1285746361e+01, 4.2924632114e-02, 2.5023398094e+05, 
1.1582213470e+00, 3.4852342810e+01, 1.4556976687e-01, 2.5052531782e+05, 
1.1591717332e+00, 3.8811306096e+01, 1.7989501975e-01, 2.5065069622e+05, 
1.1593943866e+00, 3.9923255780e+01, 1.9123558692e-01, 2.5068813112e+05, 
1.1594236729e+00, 4.0229982701e+01, 1.9455668673e-01, 2.5069891641e+05, 
1.1594232008e+00, 4.0313115985e+01, 1.9536204728e-01, 2.5070154112e+05, 
1.1594219759e+00, 4.0337761425e+01, 1.9524638817e-01, 2.5070222075e+05, 
1.1594215396e+00, 4.0343971567e+01, 1.9480418582e-01, 2.5070231970e+05, 
1.1594214108e+00, 4.0341338642e+01, 1.9420020453e-01, 2.5070218186e+05, 
1.1594212105e+00, 4.0338433511e+01, 1.9352834692e-01, 2.5070202260e+05, 
1.1594210779e+00, 4.0332585434e+01, 1.9280293949e-01, 2.5070177871e+05, 
1.1594209473e+00, 4.0328081171e+01, 1.9207582497e-01, 2.5070158281e+05, 
1.1594208128e+00, 4.0323704071e+01, 1.9136137112e-01, 2.5070138987e+05, 
1.1594206760e+00, 4.0319211791e+01, 1.9067034102e-01, 2.5070119222e+05, 
1.1594205416e+00, 4.0314499196e+01, 1.9001743837e-01, 2.5070098767e+05, 
1.1594204192e+00, 4.0309370167e+01, 1.8942520798e-01, 2.5070077232e+05, 
1.1594203045e+00, 4.0303661423e+01, 1.8891331918e-01, 2.5070053957e+05, 
1.1594202611e+00, 4.0298450803e+01, 1.8851974191e-01, 2.5070034446e+05, 
1.1594203624e+00, 4.0291311885e+01, 1.8835149204e-01, 2.5070012748e+05, 
1.1564201344e+00, 1.5964260991e+01, 3.9248343850e-02, 2.5014339116e+05, 
1.1577453817e+00, 3.2454291033e+01, 1.3392831754e-01, 2.5045572313e+05, 
1.1589352302e+00, 3.8017369234e+01, 1.6830262735e-01, 2.5062373707e+05, 
1.1593366299e+00, 3.9695006089e+01, 1.8173618973e-01, 2.5067917798e+05, 
1.1594103855e+00, 4.0174610446e+01, 1.8591925810e-01, 2.5069533883e+05, 
1.1594183107e+00, 4.0305169193e+01, 1.8701351737e-01, 2.5069978696e+05, 
1.1594178658e+00, 4.0342005270e+01, 1.8720935419e-01, 2.5070107073e+05, 
1.1594178289e+00, 4.0352840575e+01, 1.8717636171e-01, 2.5070149709e+05, 
1.1594178883e+00, 4.0351573548e+01, 1.8705670376e-01, 2.5070147978e+05, 
1.1594180294e+00, 4.0349505551e+01, 1.8684697433e-01, 2.5070144739e+05, 
1.1594180693e+00, 4.0344164588e+01, 1.8651454399e-01, 2.5070127471e+05, 
1.1594182579e+00, 4.0338689522e+01, 1.8609631758e-01, 2.5070114064e+05, 
1.1594184428e+00, 4.0333214480e+01, 1.8567505712e-01, 2.5070100576e+05, 
1.1594186513e+00, 4.0327531530e+01, 1.8525440609e-01, 2.5070087074e+05, 
1.1594188860e+00, 4.0321513684e+01, 1.8485365961e-01, 2.5070073202e+05, 
1.1594191436e+00, 4.0314999510e+01, 1.8448980850e-01, 2.5070058297e+05, 
1.1594194213e+00, 4.0307916694e+01, 1.8417475594e-01, 2.5070042046e+05, 
1.1594197417e+00, 4.0300996301e+01, 1.8393139059e-01, 2.5070027580e+05, 
1.1594202077e+00, 4.0291618841e+01, 1.8385373565e-01, 2.5070009070e+05, 
1.1563463158e+00, 1.1946698941e+01, 2.6406870083e-02, 2.5008098845e+05, 
1.1573825268e+00, 3.0078438858e+01, 9.3161291622e-02, 2.5038909487e+05, 
1.1586699293e+00, 3.7124123412e+01, 1.2731868216e-01, 2.5059052078e+05, 
1.1592479846e+00, 3.9412611641e+01, 1.4249784562e-01, 2.5066582049e+05, 
1.1593873071e+00, 4.0093898329e+01, 1.4770647387e-01, 2.5068958859e+05, 
1.1594085914e+00, 4.0282699240e+01, 1.4961431840e-01, 2.5069639981e+05, 
1.1594106421e+00, 4.0335034499e+01, 1.5034137283e-01, 2.5069844414e+05, 
1.1594100684e+00, 4.0349753944e+01, 1.5072660567e-01, 2.5069913589e+05, 
1.1594109318e+00, 4.0351632670e+01, 1.5093002409e-01, 2.5069934557e+05, 
1.1594115038e+00, 4.0349602754e+01, 1.5108601478e-01, 2.5069949184e+05, 
1.1594121235e+00, 4.0346198744e+01, 1.5130142993e-01, 2.5069954612e+05, 
1.1594128364e+00, 4.0340782931e+01, 1.5146097231e-01, 2.5069957571e+05, 
1.1594135898e+00, 4.0335233529e+01, 1.5162962535e-01, 2.5069960931e+05, 
1.1594144117e+00, 4.0329387079e+01, 1.5178464539e-01, 2.5069965341e+05, 
1.1594153041e+00, 4.0323098160e+01, 1.5193710081e-01, 2.5069970345e+05, 
1.1594162758e+00, 4.0316308659e+01, 1.5207319270e-01, 2.5069976002e+05, 
1.1594173344e+00, 4.0308988297e+01, 1.5218941790e-01, 2.5069982443e+05, 
1.1594183710e+00, 4.0301569884e+01, 1.5226116500e-01, 2.5069987866e+05, 
1.1594198109e+00, 4.0291658730e+01, 1.5247004409e-01, 2.5069996812e+05, 
1.1563393248e+00, 9.5450172649e+00, 1.3983647810e-02, 2.5004950576e+05, 
1.1571764162e+00, 2.7871146311e+01, 6.2667794030e-02, 2.5033743616e+05, 
1.1584440708e+00, 3.6162403804e+01, 9.5647727120e-02, 2.5056189978e+05, 
1.1591616738e+00, 3.9083299308e+01, 1.1094596054e-01, 2.5065683537e+05, 
1.1593732494e+00, 3.9991696780e+01, 1.1708367955e-01, 2.5068765718e+05, 
1.1594113157e+00, 4.0250079442e+01, 1.1913888470e-01, 2.5069675683e+05, 
1.1594146760e+00, 4.0321307279e+01, 1.1991602812e-01, 2.5069934272e+05, 
1.1594148856e+00, 4.0341086976e+01, 1.2033518460e-01, 2.5070014921e+05, 
1.1594149298e+00, 4.0346638305e+01, 1.2064638413e-01, 2.5070041686e+05, 
1.1594153316e+00, 4.0343661139e+01, 1.2090850974e-01, 2.5070041814e+05, 
1.1594156536e+00, 4.0341204162e+01, 1.2118834395e-01, 2.5070043706e+05, 
1.1594160354e+00, 4.0336281151e+01, 1.2146758264e-01, 2.5070037867e+05, 
1.1594164507e+00, 4.0331242638e+01, 1.2174080439e-01, 2.5070032899e+05, 
1.1594169093e+00, 4.0325919950e+01, 1.2200548455e-01, 2.5070028185e+05, 
1.1594174146e+00, 4.0320183544e+01, 1.2225521993e-01, 2.5070023451e+05, 
1.1594179664e+00, 4.0314002625e+01, 1.2247922226e-01, 2.5070018574e+05, 
1.1594185826e+00, 4.0307367316e+01, 1.2267064493e-01, 2.5070014056e+05, 
1.1594191824e+00, 4.0300496509e+01, 1.2278797423e-01, 2.5070008254e+05, 
1.1594199843e+00, 4.0291556681e+01, 1.2295503816e-01, 2.5070001331e+05, 
1.1563514971e+00, 8.1762549995e+00, 7.8600947834e-03, 2.5003475068e+05, 
1.1570525755e+00, 2.5860158362e+01, 4.4272267974e-02, 2.5029165521e+05, 
1.1582539450e+00, 3.5155063762e+01, 7.7414515868e-02, 2.5053354773e+05, 
1.1590611739e+00, 3.8713040322e+01, 9.3755646658e-02, 2.5064493561e+05, 
1.1593489086e+00, 3.9875917126e+01, 1.0030602979e-01, 2.5068473746e+05, 
1.1594094776e+00, 4.0215365454e+01, 1.0270905754e-01, 2.5069647865e+05, 
1.1594181372e+00, 4.0309269086e+01, 1.0347616905e-01, 2.5069982575e+05, 
1.1594178483e+00, 4.0333767054e+01, 1.0379000412e-01, 2.5070073587e+05, 
1.1594176738e+00, 4.0341294814e+01, 1.0401420133e-01, 2.5070105919e+05, 
1.1594178249e+00, 4.0339225071e+01, 1.0419452027e-01, 2.5070101477e+05, 
1.1594180246e+00, 4.0336688698e+01, 1.0436582065e-01, 2.5070099277e+05, 
1.1594181884e+00, 4.0332344048e+01, 1.0455581499e-01, 2.5070088883e+05, 
1.1594183939e+00, 4.0327748174e+01, 1.0473129599e-01, 2.5070079118e+05, 
1.1594186160e+00, 4.0322877628e+01, 1.0490305123e-01, 2.5070068863e+05, 
1.1594188636e+00, 4.0317624778e+01, 1.0506458451e-01, 2.5070058041e+05, 
1.1594191351e+00, 4.0311973439e+01, 1.0520947400e-01, 2.5070046565e+05, 
1.1594194403e+00, 4.0305927318e+01, 1.0533156902e-01, 2.5070034732e+05, 
1.1594197391e+00, 4.0299624554e+01, 1.0540608601e-01, 2.5070021838e+05, 
