1,
0, 3139, 4,
1.1557179968e+00, 2.0339410377e+02, -8.3621440972e+00, 2.6682228667e+05, 
1.1559341315e+00, 2.0314727738e+02, 8.6650872995e+00, 2.6684980287e+05, 
1.1414173906e+00, 2.1058494241e+02, 5.4179416094e-01, 2.6399920281e+05, 
1.1588502667e+00, 2.0177367066e+02, -6.1920330059e-01, 2.6739587030e+05, 
1.1591763820e+00, 2.0162041841e+02, 5.7722068671e-01, 2.6746087359e+05, 
1.1576788164e+00, 2.0249570588e+02, -7.9741392212e+00, 2.6721289133e+05, 
1.1579033118e+00, 2.0223632267e+02, 8.2376113393e+00, 2.6724298584e+05, 
1.1507477667e+00, 2.0581391419e+02, -1.6286538363e+00, 2.6579879461e+05, 
1.1590736586e+00, 2.0158854955e+02, 7.7289403932e-02, 2.6742591475e+05, 
1.1588897873e+00, 2.0169316450e+02, -9.9719647729e-02, 2.6739169261e+05, 
1.1545652525e+00, 2.0391338454e+02, 1.0366068153e+00, 2.6654388081e+05, 
1.1543009116e+00, 2.0403401207e+02, -1.0074896030e+00, 2.6649038105e+05, 
1.1572992120e+00, 2.0252498703e+02, -5.0435895247e-01, 2.6708003885e+05, 
1.1576178393e+00, 2.0236402072e+02, 5.0191297984e-01, 2.6714270143e+05, 
1.1520502836e+00, 2.0522990635e+02, -2.0289677755e+00, 2.6605892536e+05, 
1.1522661700e+00, 2.0512864505e+02, 2.1074301680e+00, 2.6610242767e+05, 
1.1573221779e+00, 2.0249536112e+02, -3.9813139262e-01, 2.6708416687e+05, 
1.1576510845e+00, 2.0233772840e+02, 4.0005005087e-01, 2.6714785399e+05, 
1.1447554155e+00, 2.0893580661e+02, 2.9395898632e+00, 2.6464856252e+05, 
1.1579619945e+00, 2.0222818422e+02, -8.6047183071e-01, 2.6721846859e+05, 
1.1583106358e+00, 2.0205678924e+02, 8.5541100852e-01, 2.6728709451e+05, 
1.1596722047e+00, 2.0141676484e+02, 2.7055306593e-01, 2.6756755435e+05, 
1.1593131149e+00, 2.0155855589e+02, -3.9204968606e-01, 2.6749456229e+05, 
1.1367291910e+00, 2.1135250330e+02, -1.4529532157e+01, 2.6306648856e+05, 
1.1454176953e+00, 2.0811845012e+02, 1.2850498751e+01, 2.6483386757e+05, 
1.1458259176e+00, 2.0817706934e+02, -1.2605888424e+01, 2.6490142092e+05, 
1.1350802280e+00, 2.1329067733e+02, 7.7572654055e+00, 2.6279724305e+05, 
1.1369439221e+00, 2.1205846916e+02, -1.3218964883e+01, 2.6310510368e+05, 
1.1276875124e+00, 2.1620601333e+02, 6.7729576910e+00, 2.6125111134e+05, 
1.1608501388e+00, 2.0087841042e+02, -2.2803707719e+00, 2.6781887855e+05, 
1.1613817791e+00, 2.0060168010e+02, 2.2829677913e+00, 2.6792474962e+05, 
1.1276242713e+00, 2.1643804233e+02, 5.2809353351e+00, 2.6125297677e+05, 
1.1511479745e+00, 2.0562123259e+02, -3.2126546497e-01, 2.6587021935e+05, 
1.1611235157e+00, 2.0079013924e+02, -2.0408467331e+00, 2.6787725985e+05, 
1.1615235442e+00, 2.0056091321e+02, 2.0266373077e+00, 2.6795474172e+05, 
1.1602020971e+00, 2.0126451535e+02, 2.8806165504e-01, 2.6769361222e+05, 
1.1597163027e+00, 2.0150281525e+02, -3.8305287498e-01, 2.6759548204e+05, 
1.1589240569e+00, 2.0171190898e+02, 4.0908335997e-01, 2.6740416921e+05, 
1.1586332960e+00, 2.0186389355e+02, -4.3995884822e-01, 2.6734701046e+05, 
1.1595307435e+00, 2.0156376396e+02, -4.5662634055e-01, 2.6755109373e+05, 
1.1599498585e+00, 2.0133782993e+02, 3.5775286503e-01, 2.6763364800e+05, 
1.1510664581e+00, 2.0556681076e+02, -2.1402268994e-01, 2.6584762304e+05, 
1.1549210451e+00, 2.0374312446e+02, 9.7883382563e-01, 2.6661418760e+05, 
1.1546097127e+00, 2.0386680196e+02, -9.4731625379e-01, 2.6654980225e+05, 
1.1572320969e+00, 2.0263877440e+02, -2.1985235308e+00, 2.6708562065e+05, 
1.1575804633e+00, 2.0248348442e+02, 2.2475464733e+00, 2.6715641933e+05, 
1.1566574934e+00, 2.0312248831e+02, -5.1729041824e+00, 2.6699644866e+05, 
1.1568092531e+00, 2.0291561126e+02, 5.2918328924e+00, 2.6702200596e+05, 
1.1327559577e+00, 2.1399046763e+02, -1.2023835922e+01, 2.6227851674e+05, 
1.1521703632e+00, 2.0513250738e+02, 1.2355648770e+00, 2.6607496027e+05, 
1.1579842864e+00, 2.0219824959e+02, -6.7013235974e-01, 2.6721925568e+05, 
1.1582844266e+00, 2.0202970776e+02, 6.6677050290e-01, 2.6727762218e+05, 
1.1601939582e+00, 2.0126556161e+02, 3.3178206834e-01, 2.6769075019e+05, 
1.1597014010e+00, 2.0150534873e+02, -4.2288810362e-01, 2.6759100674e+05, 
1.1618219418e+00, 2.0054737201e+02, 1.7848804283e-01, 2.6802170126e+05, 
1.1604391197e+00, 1.9830114379e+02, -1.4213049195e-01, 2.6755066149e+05, 
1.1615698376e+00, 2.0062921052e+02, 1.2543290645e-01, 2.6797434787e+05, 
1.1598506194e+00, 1.9845880359e+02, -1.2933179159e-01, 2.6743473261e+05, 
1.1192153704e+00, 2.1872863315e+02, -3.4147909443e+00, 2.5950897378e+05, 
1.1496055638e+00, 2.0641047695e+02, 4.3992870746e-01, 2.6557157448e+05, 
1.1581307496e+00, 2.0204388831e+02, -7.2780826446e-02, 2.6723748182e+05, 
1.1583668975e+00, 2.0194771152e+02, 6.7053756820e-02, 2.6728783399e+05, 
1.1529203915e+00, 2.0473136673e+02, -2.3088455313e-01, 2.6621747780e+05, 
1.1612549315e+00, 2.0079742427e+02, 2.1354457814e-01, 2.6791805714e+05, 
1.1599588397e+00, 1.9947752323e+02, -1.8794781664e-01, 2.6756891594e+05, 
1.1497244061e+00, 2.0631807315e+02, 3.9150572710e-01, 2.6559204204e+05, 
1.1509179102e+00, 2.0574312212e+02, -8.6196201401e-01, 2.6582634687e+05, 
1.1499756496e+00, 2.0624022542e+02, -1.3968995330e+00, 2.6564886822e+05, 
1.1588754296e+00, 2.0187021123e+02, -3.8770916722e+00, 2.6742541353e+05, 
1.1593655186e+00, 2.0166581698e+02, 3.9837584874e+00, 2.6752636794e+05, 
1.1598845577e+00, 2.0137550985e+02, -4.4403826207e-01, 2.6763048084e+05, 
1.1604065855e+00, 2.0117812614e+02, 3.8335021531e-01, 2.6773672983e+05, 
1.1446144251e+00, 2.0899524367e+02, 2.4802843618e+00, 2.6461972045e+05, 
1.1585430881e+00, 2.0192037190e+02, 6.5716255567e-01, 2.6733072793e+05, 
1.1582143724e+00, 2.0209245483e+02, -6.7394646424e-01, 2.6726662183e+05, 
1.1593327996e+00, 2.0151590176e+02, -2.1813995040e-01, 2.6748504603e+05, 
1.1594440023e+00, 2.0144576067e+02, 5.9346287048e-02, 2.6750679994e+05, 
1.1495995379e+00, 2.0636496572e+02, 2.9492244608e-02, 2.6556552074e+05, 
1.1581349105e+00, 2.0213380491e+02, -6.3264415843e-01, 2.6724939436e+05, 
1.1584184604e+00, 2.0196555205e+02, 6.1952788773e-01, 2.6730419433e+05, 
1.1574270070e+00, 2.0244517239e+02, 3.4207041821e-01, 2.6710233948e+05, 
1.1571047417e+00, 2.0260513127e+02, -3.4143718961e-01, 2.6704128767e+05, 
1.1595166331e+00, 2.0157962406e+02, -1.9245519160e+00, 2.6754916846e+05, 
1.1599053597e+00, 2.0135937053e+02, 1.9328679124e+00, 2.6762607815e+05, 
1.1594697464e+00, 2.0164663457e+02, -3.5324730775e+00, 2.6754746018e+05, 
1.1598196623e+00, 2.0142209250e+02, 3.6231780477e+00, 2.6761508843e+05, 
1.1613917837e+00, 2.0070067667e+02, 2.3246895475e-01, 2.6794319756e+05, 
1.1602171178e+00, 1.9942615787e+02, -3.3244774426e-01, 2.6760754457e+05, 
1.1586050258e+00, 2.0183811152e+02, 1.4246954599e-01, 2.6733101194e+05, 
1.1583373181e+00, 2.0199688129e+02, -1.3758498421e-01, 2.6728409197e+05, 
1.1588260836e+00, 2.0184521470e+02, -2.5529362053e+00, 2.6740865313e+05, 
1.1592697196e+00, 2.0168775958e+02, 2.5920040126e+00, 2.6750020392e+05, 
1.1603110553e+00, 2.0134752494e+02, -4.7727849563e-01, 2.6774748498e+05, 
1.1608011653e+00, 2.0099836838e+02, 4.5198496889e-01, 2.6781893581e+05, 
1.1493146339e+00, 2.0656645339e+02, -5.5321730522e-01, 2.6551605756e+05, 
1.1602280423e+00, 2.0124370972e+02, 4.2333876477e-01, 2.6769670152e+05, 
1.1597547111e+00, 2.0148160285e+02, -4.9670184460e-01, 2.6760166901e+05, 
