0, 1652, 4,
0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 
1.1867846578e+00, 1.8019468581e+02, -1.6546463657e+01, 2.7244131115e+05, 
1.1585538180e+00, 1.9954720196e+02, -1.8134582274e-02, 2.6720033034e+05, 
1.1593814888e+00, 2.0139781586e+02, -1.5267217854e-02, 2.6748416516e+05, 
1.1593027873e+00, 2.0146573368e+02, 1.1647239717e-03, 2.6746990369e+05, 
1.1603246898e+00, 2.0128512650e+02, 1.4853211335e-03, 2.6773218802e+05, 
1.1915329338e+00, 1.8504192691e+02, 1.3598427998e+01, 2.7401008907e+05, 
1.1727152051e+00, 1.9318395484e+02, 2.5148324603e+01, 2.7025992293e+05, 
1.1538974226e+00, 2.0135345779e+02, 2.5974857514e+01, 2.6637132542e+05, 
1.1438272957e+00, 2.0622184304e+02, 2.3489677989e+01, 2.6430829132e+05, 
1.1361169549e+00, 2.1024203217e+02, 2.1048705907e+01, 2.6280710846e+05, 
1.1302295309e+00, 2.1309220702e+02, 1.8293251589e+01, 2.6165610483e+05, 
1.1258962698e+00, 2.1543176308e+02, 1.5268992238e+01, 2.6083423981e+05, 
1.1225691521e+00, 2.1716769023e+02, 1.2142165043e+01, 2.6020602395e+05, 
1.1206623585e+00, 2.1820296758e+02, 8.8805897129e+00, 2.5982717416e+05, 
1.1183512162e+00, 2.1900245594e+02, 5.3634995950e+00, 2.5933815787e+05, 
1.1164863920e+00, 2.1928005439e+02, 1.9398699415e+00, 2.5892561450e+05, 
1.1168144536e+00, 2.1905997950e+02, -1.3683488194e+00, 2.5897667607e+05, 
1.1182794595e+00, 2.1846555104e+02, -4.7148354880e+00, 2.5926591152e+05, 
1.1197393567e+00, 2.1749780612e+02, -8.2015780091e+00, 2.5952927515e+05, 
1.1229356062e+00, 2.1625272151e+02, -1.1552967934e+01, 2.6018856155e+05, 
1.1270006149e+00, 2.1449049776e+02, -1.4528001895e+01, 2.6100883478e+05, 
1.1322368180e+00, 2.1197185111e+02, -1.7771978315e+01, 2.6202417027e+05, 
1.1383023159e+00, 2.0886748923e+02, -2.0526805689e+01, 2.6320914399e+05, 
1.1472167305e+00, 2.0463985087e+02, -2.2949554579e+01, 2.6495061664e+05, 
1.1578269034e+00, 1.9877237390e+02, -2.5157401206e+01, 2.6695437233e+05, 
1.1703692827e+00, 1.8972927229e+02, -2.5419580303e+01, 2.6921575177e+05, 
1.1798192479e+00, 1.8756983786e+02, -2.2357036836e+00, 2.7136850492e+05, 
1.1702618330e+00, 1.9146458924e+02, -5.4491929451e-01, 2.6936653350e+05, 
1.1666919364e+00, 1.9343630350e+02, -4.2181936977e-01, 2.6867816610e+05, 
1.1646252111e+00, 1.9470770926e+02, -3.1060264338e-01, 2.6824767674e+05, 
1.1632038699e+00, 1.9587480672e+02, -2.7009890371e-01, 2.6802265142e+05, 
1.1622182025e+00, 1.9657102495e+02, -1.1595531991e-01, 2.6785483180e+05, 
1.1612501041e+00, 1.9704823551e+02, -1.3831458778e-01, 2.6766284057e+05, 
1.1608274095e+00, 1.9764023672e+02, -1.1255278095e-01, 2.6760068388e+05, 
1.1603668836e+00, 1.9785849397e+02, -1.3008036682e-02, 2.6750041434e+05, 
1.1600630248e+00, 1.9824703972e+02, -6.7007302806e-02, 2.6745801876e+05, 
1.1596990272e+00, 1.9838283236e+02, -2.1598397285e-02, 2.6737591336e+05, 
1.1594884274e+00, 1.9862029272e+02, -6.2008683609e-02, 2.6734530038e+05, 
1.1593305960e+00, 1.9875343315e+02, -2.6328630032e-02, 2.6730970648e+05, 
1.1591622448e+00, 1.9893381166e+02, -3.3071611097e-02, 2.6728610141e+05, 
1.1589685046e+00, 1.9902420883e+02, -1.0747399997e-02, 2.6725422706e+05, 
1.1588484162e+00, 1.9912102273e+02, -3.2898673652e-02, 2.6723095453e+05, 
1.1588238025e+00, 1.9931440580e+02, -2.4779244893e-02, 2.6723852268e+05, 
1.1586813237e+00, 1.9937442722e+02, -4.2300117964e-03, 2.6722025299e+05, 
1.1586692593e+00, 1.9950084958e+02, -2.3512515960e-02, 2.6722255498e+05, 
1.1586991079e+00, 1.9982001901e+02, -6.4131431670e-02, 2.6724546932e+05, 
1.1589696679e+00, 2.0089429207e+02, -1.0708511274e-01, 2.6741463069e+05, 
1.1592501461e+00, 2.0168898626e+02, -1.3104323572e-01, 2.6755354386e+05, 
1.1593761206e+00, 2.0175177435e+02, -1.6762464482e-01, 2.6756547080e+05, 
1.1594380010e+00, 2.0167228952e+02, -2.1370330700e-01, 2.6755165977e+05, 
1.1594476939e+00, 2.0164359910e+02, -2.4703337044e-01, 2.6754344913e+05, 
1.1594408424e+00, 2.0164377815e+02, -2.6827209146e-01, 2.6753950146e+05, 
1.1594383239e+00, 2.0162837203e+02, -2.8591085283e-01, 2.6753552565e+05, 
1.1594255763e+00, 2.0159721799e+02, -2.9619107280e-01, 2.6752789125e+05, 
1.1594108322e+00, 2.0155847746e+02, -2.9753175472e-01, 2.6751988880e+05, 
1.1593944884e+00, 2.0151676404e+02, -2.9316806058e-01, 2.6751040865e+05, 
1.1593881546e+00, 2.0149274929e+02, -2.8043543881e-01, 2.6750399729e+05, 
1.1593895379e+00, 2.0148731602e+02, -2.6077586746e-01, 2.6750144123e+05, 
