1,
0, 3131, 4,
1.1594238932e+00, 1.2086676013e+03, 1.8454715049e-03, 8.8000257772e+05, 
2.3500760883e+00, 1.8559930298e+03, 5.8871026848e+02, 1.6677018399e+06, 
3.4889383842e+00, 1.4461913557e+03, 1.0015755315e+03, 2.2362593784e+06, 
1.1594202899e+00, 1.2086643724e+03, 8.2447501545e-14, 8.8000000000e+05, 
1.1594204140e+00, 1.2086644878e+03, 4.0852711661e-05, 8.8000009004e+05, 
1.3034790272e+00, 1.2981908313e+03, 7.6335452097e+01, 9.7021206083e+05, 
3.6422068137e+00, 1.8416214696e+03, 1.1106721542e+03, 2.3691948596e+06, 
2.4327528334e+00, 1.5620711820e+03, 6.2211112096e+02, 1.6329115187e+06, 
1.1594202899e+00, 1.2086643724e+03, 4.6621731597e-12, 8.8000000000e+05, 
3.6060320315e+00, 1.7765411655e+03, 1.1480837796e+03, 2.3484214301e+06, 
4.5288958692e+00, 1.1041688349e+03, 2.0530601711e+02, 2.7801575001e+06, 
1.1594202899e+00, 1.2086643724e+03, -7.3708683966e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.4420478453e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.1673599599e-13, 8.8000000000e+05, 
4.0708246030e+00, 1.4528536735e+03, 1.0103648340e+03, 2.5657459876e+06, 
1.1594202899e+00, 1.2086643724e+03, -1.1421494278e-13, 8.8000000000e+05, 
2.9984312714e+00, 1.8330803203e+03, 8.9456248502e+02, 2.0057843984e+06, 
3.6651054997e+00, 1.5545810117e+03, 1.0280593015e+03, 2.3419842264e+06, 
1.1594202899e+00, 1.2086643724e+03, -3.1275575211e-13, 8.8000000000e+05, 
3.4005957939e+00, 2.1448356189e+03, 1.2027446554e+03, 2.2802473842e+06, 
3.0147997511e+00, 1.7928826809e+03, 9.0489105108e+02, 2.0114231348e+06, 
3.4295041378e+00, 2.0148702612e+03, 1.1297372071e+03, 2.2959903103e+06, 
3.0167201020e+00, 1.6115493371e+03, 8.7465526005e+02, 1.9783143157e+06, 
1.1594202899e+00, 1.2086643724e+03, -3.6370142006e-13, 8.8000000000e+05, 
4.5985970624e+00, 1.5680252842e+03, 9.7309796984e+02, 2.8484384417e+06, 
3.4721517481e+00, 1.2262602562e+03, 1.0625602825e+03, 2.2087128498e+06, 
3.4835804461e+00, 1.7936297343e+03, 1.0772835504e+03, 2.2794609980e+06, 
4.4782482530e+00, 8.8206314153e+02, 4.8782743177e+02, 2.7489354718e+06, 
4.5508763149e+00, 8.1125235902e+02, 7.5127229531e+02, 2.7982206628e+06, 
4.4877074779e+00, 9.0135922647e+02, 6.8662133319e+02, 2.7536764668e+06, 
1.1594202899e+00, 1.2086643724e+03, 9.4035409832e-14, 8.8000000000e+05, 
4.8538059908e+00, 4.0524516085e+02, 3.6953936620e+02, 2.9295249280e+06, 
3.8270279643e+00, 1.0194029062e+03, 1.1162787392e+03, 2.4007014862e+06, 
3.1421198217e+00, 1.7487732811e+03, 9.1076172248e+02, 2.0749633184e+06, 
4.6432682301e+00, 3.3830728269e+02, 5.4557926204e+02, 2.8148498044e+06, 
1.7187737900e+00, 1.2734222344e+03, 3.1365440242e+02, 1.1818438423e+06, 
4.5002136178e+00, 1.1678607628e+03, 2.5292293892e+02, 2.7910446267e+06, 
1.1594202899e+00, 1.2086643724e+03, 3.3197830982e-13, 8.8000000000e+05, 
2.5279728646e+00, 1.5690080752e+03, 6.8510827149e+02, 1.6901186701e+06, 
4.1052572087e+00, 1.6712898497e+03, 1.1381825510e+03, 2.6264435933e+06, 
2.8978797562e+00, 1.6158258329e+03, 8.3831239563e+02, 1.9090167525e+06, 
1.1594202899e+00, 1.2086643724e+03, 1.7326773210e-13, 8.8000000000e+05, 
4.6269947945e+00, 8.9484227758e+02, 4.0946153248e+01, 2.8212844599e+06, 
2.9434214432e+00, 1.4616746932e+03, 8.4427009723e+02, 1.9144136071e+06, 
