0, 2876, 4,
0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 
5.1505336676e+00, 5.9126402818e+01, 6.1785816661e+01, 3.0958087874e+06, 
1.0685507887e+00, 9.2559169639e+02, 4.1446250020e+01, 7.5713784644e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.1271901193e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -8.1146352347e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.8960389275e-14, 8.8000000000e+05, 
4.9796732642e+00, 1.6258192340e+02, 3.4713335247e+02, 3.0060140297e+06, 
4.9401083662e+00, 1.0383852439e+02, 6.8095400951e+02, 2.9958981446e+06, 
4.8628188573e+00, 1.3199051852e+02, 7.7451282962e+02, 2.9518660163e+06, 
4.7627616902e+00, 1.8297510364e+02, 8.3497129765e+02, 2.8946288937e+06, 
4.6569070243e+00, 2.5833293681e+02, 9.1192699888e+02, 2.8373604696e+06, 
4.5833225894e+00, 3.1709428320e+02, 1.0015148097e+03, 2.8013030151e+06, 
4.5348230817e+00, 3.9655568491e+02, 1.0496399726e+03, 2.7777814250e+06, 
4.4487496453e+00, 4.7726808645e+02, 1.1031816015e+03, 2.7323810048e+06, 
4.3593589606e+00, 5.4391351922e+02, 1.1384840051e+03, 2.6844221854e+06, 
4.2047634993e+00, 6.4699417841e+02, 1.1565981222e+03, 2.5970594083e+06, 
4.0691206130e+00, 7.3056212517e+02, 1.2038851400e+03, 2.5271468067e+06, 
3.9912061764e+00, 8.1043006918e+02, 1.2129835438e+03, 2.4866483333e+06, 
3.8362122828e+00, 9.1527434536e+02, 1.2068956177e+03, 2.4019431553e+06, 
3.6341015334e+00, 9.9008965577e+02, 1.2005075146e+03, 2.2873617717e+06, 
3.5294288730e+00, 1.0599797224e+03, 1.1688585109e+03, 2.2293909083e+06, 
3.3135771415e+00, 1.1363393934e+03, 1.1339923345e+03, 2.1084215015e+06, 
3.1816683526e+00, 1.1964577751e+03, 1.0830985468e+03, 2.0336926198e+06, 
3.0399667032e+00, 1.2409303200e+03, 1.0378225836e+03, 1.9536493844e+06, 
2.8718034372e+00, 1.2835648994e+03, 9.6075582928e+02, 1.8554327223e+06, 
2.6857982567e+00, 1.3127308213e+03, 8.8111004923e+02, 1.7472539615e+06, 
2.5407389626e+00, 1.3295804737e+03, 8.1914203660e+02, 1.6655977163e+06, 
2.3904349296e+00, 1.3334231802e+03, 7.5127981364e+02, 1.5799025103e+06, 
2.2247132504e+00, 1.3325039986e+03, 6.5936471227e+02, 1.4830612399e+06, 
2.0455769523e+00, 1.3078252087e+03, 5.6773348329e+02, 1.3724015766e+06, 
1.9288776876e+00, 1.2898832007e+03, 5.0177029966e+02, 1.3043300328e+06, 
1.8127902938e+00, 1.2665018090e+03, 4.2845292629e+02, 1.2346559508e+06, 
1.6382185862e+00, 1.2072469067e+03, 3.3629080916e+02, 1.1231797777e+06, 
1.4664078756e+00, 1.1358810099e+03, 2.5402757486e+02, 1.0147331268e+06, 
1.4080043118e+00, 1.1142348910e+03, 2.1024505338e+02, 9.7836247517e+05, 
1.2760115433e+00, 1.0482824676e+03, 1.3958257604e+02, 8.9337816008e+05, 
1.1552683910e+00, 9.7945949476e+02, 8.2005638395e+01, 8.1482028027e+05, 
1.1957155184e+00, 1.0078385368e+03, 8.8414416499e+01, 8.4366797718e+05, 
1.3275144149e+00, 1.0886097478e+03, 1.3813787753e+02, 9.3228397722e+05, 
1.4010447639e+00, 1.1298261258e+03, 1.6724632479e+02, 9.8035684439e+05, 
1.5489075945e+00, 1.2008235317e+03, 2.3399681306e+02, 1.0748093110e+06, 
1.6516776257e+00, 1.2483067257e+03, 2.7937728327e+02, 1.1397178939e+06, 
1.7270888189e+00, 1.2802647101e+03, 3.1196329024e+02, 1.1864298029e+06, 
1.8356217190e+00, 1.3226566462e+03, 3.6022669163e+02, 1.2541872597e+06, 
1.8852272003e+00, 1.3421031702e+03, 3.8019478629e+02, 1.2851360482e+06, 
1.9534958609e+00, 1.3684175992e+03, 4.1222812299e+02, 1.3288188212e+06, 
2.0143239979e+00, 1.3938733666e+03, 4.4337007756e+02, 1.3683967363e+06, 
2.0433889455e+00, 1.4106781856e+03, 4.6123879882e+02, 1.3883286029e+06, 
2.0943539084e+00, 1.4396641902e+03, 4.8432674041e+02, 1.4221134575e+06, 
2.1484614016e+00, 1.4737044322e+03, 5.0027699870e+02, 1.4571826778e+06, 
2.2463136563e+00, 1.5169255931e+03, 5.3618116232e+02, 1.5191095168e+06, 
2.3147894948e+00, 1.5428798208e+03, 5.5572699773e+02, 1.5619019012e+06, 
2.3259222179e+00, 1.5394626435e+03, 5.6123819956e+02, 1.5678957060e+06, 
2.3642781814e+00, 1.5416701631e+03, 5.8356765204e+02, 1.5902345385e+06, 
2.3800171864e+00, 1.5424100396e+03, 5.9712663733e+02, 1.5994137297e+06, 
2.4017088259e+00, 1.5525950030e+03, 6.1041701980e+02, 1.6132645498e+06, 
2.4707180329e+00, 1.5856826370e+03, 6.4331055780e+02, 1.6585740827e+06, 
2.5037361657e+00, 1.6088723075e+03, 6.5523920689e+02, 1.6820914823e+06, 
2.5476392816e+00, 1.6377978763e+03, 6.7106720457e+02, 1.7133924972e+06, 
2.5925655043e+00, 1.6668184682e+03, 6.9050773430e+02, 1.7451971353e+06, 
2.6269142437e+00, 1.6932408617e+03, 7.0964545690e+02, 1.7697448972e+06, 
2.6865735096e+00, 1.7332552272e+03, 7.4283721533e+02, 1.8114816809e+06, 
2.7124049232e+00, 1.7580059774e+03, 7.5985392111e+02, 1.8313038792e+06, 
2.7562448915e+00, 1.7898594603e+03, 7.8734590015e+02, 1.8642847869e+06, 
2.7753760945e+00, 1.7959011190e+03, 8.0523470257e+02, 1.8743278378e+06, 
2.7808634029e+00, 1.7902977355e+03, 8.1066222195e+02, 1.8753456821e+06, 
2.8044269422e+00, 1.7962398512e+03, 8.1775078383e+02, 1.8897498298e+06, 
2.8511441424e+00, 1.8223792784e+03, 8.3179477640e+02, 1.9224919605e+06, 
2.9075662729e+00, 1.8656488592e+03, 8.5571871180e+02, 1.9657091827e+06, 
2.9663814455e+00, 1.9167903575e+03, 8.9211831447e+02, 2.0124260778e+06, 
2.9693981874e+00, 1.9277114054e+03, 9.0618122357e+02, 2.0174351940e+06, 
2.9977782236e+00, 1.9431165907e+03, 9.3100941979e+02, 2.0354295150e+06, 
3.0212924247e+00, 1.9565353435e+03, 9.3899855382e+02, 2.0481199120e+06, 
3.0981726605e+00, 1.9947718019e+03, 9.6692579269e+02, 2.0931466564e+06, 
3.1458167979e+00, 2.0287153526e+03, 9.8568095669e+02, 2.1239809964e+06, 
3.1745122949e+00, 2.0612027159e+03, 1.0098478979e+03, 2.1490453656e+06, 
3.2101501903e+00, 2.1021723461e+03, 1.0370321904e+03, 2.1822778983e+06, 
3.2418853768e+00, 2.1373713093e+03, 1.0633736203e+03, 2.2121702934e+06, 
3.2695648751e+00, 2.1595795742e+03, 1.0908654856e+03, 2.2347520163e+06, 
3.2852553048e+00, 2.1617457104e+03, 1.1099916078e+03, 2.2428923116e+06, 
3.3051111354e+00, 2.1572184651e+03, 1.1041103305e+03, 2.2492361051e+06, 
3.4302828543e+00, 2.2106536955e+03, 1.1221766709e+03, 2.3166191827e+06, 
3.4475435367e+00, 2.2326233157e+03, 1.1477191442e+03, 2.3355864638e+06, 
3.3758813830e+00, 2.2124962808e+03, 1.1606811388e+03, 2.3012238435e+06, 
3.0571637608e+00, 2.1909076737e+03, 9.6681487622e+02, 2.1184482613e+06, 
1.8871006347e+00, 1.6163406850e+03, 3.6562510385e+02, 1.3591719354e+06, 
1.1919307990e+00, 1.2331193065e+03, 1.4373729397e+01, 9.0199201558e+05, 
1.1685001744e+00, 1.2165876046e+03, 3.3899754930e+00, 8.8642001342e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.3655875021e-11, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -4.8406044646e-12, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.6242857743e-12, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.1116979881e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.4391459440e-15, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.9651257794e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 6.1864724731e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.3748987234e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.9271752326e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 6.6202500954e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 5.9061426086e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.7059855304e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.9881794664e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 9.8330833194e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.3546234476e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.7236815582e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.0053877548e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.9541897823e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.9881490997e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -9.5363140854e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.9764383246e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.1186273536e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.4223676298e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -4.2982449764e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.6131538494e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.2008012761e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.3999134827e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.9934781359e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.5286811837e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.0682230642e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -7.7595106727e-14, 8.8000000000e+05, 
