1,
0, 5547, 4,
1.1594202899e+00, 1.2086643724e+03, 2.0194324194e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.0870175549e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.5886034720e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -1.2576691008e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.4450877366e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.3448361304e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.7827487892e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -3.0195999233e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.6691608244e-13, 8.8000000000e+05, 
2.3266057474e+00, 1.4721690900e+03, -2.5361279330e+02, 1.5714469262e+06, 
1.1594202899e+00, 1.2086643724e+03, -3.0037485341e-13, 8.8000000000e+05, 
2.2735524444e+00, 1.7014060096e+03, 6.6384945141e+02, 1.5845215369e+06, 
1.1594202899e+00, 1.2086643724e+03, 2.6937881104e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.1678921356e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 2.8261714889e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.7503615097e-14, 8.8000000000e+05, 
4.1345732416e+00, 1.6166052387e+03, 1.1687131530e+03, 2.6295712209e+06, 
1.1594202899e+00, 1.2086643724e+03, 2.0288148281e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.4247293918e-13, 8.8000000000e+05, 
3.0169801056e+00, 1.9213120195e+03, 1.0497900090e+03, 2.0505578702e+06, 
1.1594202899e+00, 1.2086643724e+03, -1.5359924716e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 4.0684844248e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.9016105833e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -2.7442328472e-13, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 3.2279184442e-14, 8.8000000000e+05, 
3.6388943359e+00, 1.8313362156e+03, 1.1569915111e+03, 2.3993660989e+06, 
