0, 2880, 4,
0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 0.0000000000e+00, 
5.9231824386e+00, 9.9363113658e+02, 4.9664289022e+02, 3.6443866491e+06, 
8.0223298072e-01, 7.4905791196e+02, 4.0495838866e+01, 5.8554067123e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.9916697634e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, -5.3520659305e-14, 8.8000000000e+05, 
1.1594202899e+00, 1.2086643724e+03, 1.5184770793e-14, 8.8000000000e+05, 
5.4107719827e+00, 3.1502165806e+02, 8.1395471919e+02, 3.2972729574e+06, 
5.0409093265e+00, 2.4879094857e+02, 8.6177680923e+02, 3.0706931828e+06, 
4.8105677126e+00, 3.4950284717e+02, 1.0612656187e+03, 2.9437470631e+06, 
4.5285996134e+00, 4.1123955862e+02, 1.3213129259e+03, 2.8039837975e+06, 
4.3146698763e+00, 4.2070255397e+02, 1.4059379175e+03, 2.6795341989e+06, 
4.2456950836e+00, 4.7269606120e+02, 1.3134976780e+03, 2.6413471496e+06, 
4.2261826153e+00, 4.1657777393e+02, 1.1592435876e+03, 2.6184297859e+06, 
4.3462466211e+00, 4.8219023365e+02, 1.0727757963e+03, 2.6856715559e+06, 
4.2543601885e+00, 5.5996072081e+02, 1.0997695992e+03, 2.6328666908e+06, 
4.1534319235e+00, 6.7080944032e+02, 1.1052544110e+03, 2.5658485423e+06, 
3.9949999201e+00, 7.6217456637e+02, 1.1685088979e+03, 2.4846410637e+06, 
3.8632535399e+00, 8.7743438648e+02, 1.2042473333e+03, 2.4149318860e+06, 
3.6565865071e+00, 9.5811211402e+02, 1.2152150095e+03, 2.2989466439e+06, 
3.4294168755e+00, 1.0129237684e+03, 1.1948095666e+03, 2.1617055358e+06, 
3.2470301257e+00, 1.1141185484e+03, 1.1788619827e+03, 2.0662916550e+06, 
3.0582618355e+00, 1.1523168782e+03, 1.1259611911e+03, 1.9544699778e+06, 
2.9343872294e+00, 1.2273042309e+03, 1.0750820019e+03, 1.8931845083e+06, 
2.7933956109e+00, 1.2531136829e+03, 1.0136521445e+03, 1.8122965212e+06, 
2.6008718203e+00, 1.2656395910e+03, 9.3200484869e+02, 1.6984472940e+06, 
2.4421982299e+00, 1.2944323397e+03, 8.6067948843e+02, 1.6105293179e+06, 
2.2444190562e+00, 1.2884522665e+03, 7.8086395482e+02, 1.4968001069e+06, 
2.0500003868e+00, 1.2666040249e+03, 6.9642767403e+02, 1.3770541462e+06, 
1.9064129074e+00, 1.2583775252e+03, 6.1561652318e+02, 1.2931217850e+06, 
1.7324516465e+00, 1.2162960165e+03, 5.1683558417e+02, 1.1853174280e+06, 
1.5972666908e+00, 1.1758950135e+03, 4.3520145443e+02, 1.1010647119e+06, 
1.4683568472e+00, 1.1288889840e+03, 3.5926168524e+02, 1.0201968121e+06, 
1.3661232913e+00, 1.0893678410e+03, 2.9599331877e+02, 9.5609057332e+05, 
1.2532877579e+00, 1.0335423218e+03, 2.3536122968e+02, 8.8261399345e+05, 
1.1333803200e+00, 9.6693286382e+02, 1.7959736999e+02, 8.0462879585e+05, 
1.0158446017e+00, 8.9380507579e+02, 1.2721455619e+02, 7.2601922926e+05, 
8.9491044505e-01, 8.1385388561e+02, 7.7979046192e+01, 6.4698510779e+05, 
9.3442871010e-01, 8.4540638505e+02, 8.8364783049e+01, 6.7333784942e+05, 
1.0891679991e+00, 9.6460536637e+02, 1.4018950006e+02, 7.8312357548e+05, 
1.2343466425e+00, 1.0668712254e+03, 1.9814819796e+02, 8.8320544812e+05, 
1.3758242584e+00, 1.1625829568e+03, 2.5932510981e+02, 9.7901251524e+05, 
1.4933501445e+00, 1.2447177102e+03, 3.0264988226e+02, 1.0575144367e+06, 
1.6143578361e+00, 1.3376568327e+03, 3.4555319395e+02, 1.1419067805e+06, 
1.7325277232e+00, 1.4261052682e+03, 3.9709638061e+02, 1.2269298881e+06, 
1.8482185095e+00, 1.5108920015e+03, 4.4805443494e+02, 1.3092168424e+06, 
1.9602321840e+00, 1.5836016521e+03, 4.9182170363e+02, 1.3848187119e+06, 
2.0426204522e+00, 1.6405875180e+03, 5.2934886169e+02, 1.4419163454e+06, 
2.1460726562e+00, 1.7235200109e+03, 5.6660462798e+02, 1.5146842297e+06, 
2.2482508822e+00, 1.8016924647e+03, 6.1031969811e+02, 1.5861558105e+06, 
