1,
0, 12440, 4,
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.0833005579e+00, 7.6480268554e+02, -8.8304563092e+00, 4.9759621822e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.4252723689e+00, 9.3128448251e+02, -7.0446823593e+01, 6.4079903934e+05, 
1.1669310822e+00, 8.0965187062e+02, 1.6342479124e+01, 5.3320058629e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1854640341e+00, 8.1915204702e+02, 6.3348558696e+00, 5.4094622869e+05, 
1.1686359037e+00, 8.1059906066e+02, 1.1490116332e+01, 5.3391485028e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.5019147528e+00, 9.6359703084e+02, -9.6224393803e+01, 6.7203332940e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.2125276745e+00, 8.3172423680e+02, -2.2719192798e+00, 5.5209273911e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.3862762863e+00, 9.1269390517e+02, 8.8886772860e+01, 6.2470189383e+05, 
1.1562735454e+00, 8.0178408903e+02, 1.4037281873e+01, 5.2826345506e+05, 
1.4598252874e+00, 9.4676794163e+02, -8.1824569766e+01, 6.5501414643e+05, 
1.1446617218e+00, 7.8861523433e+02, 1.3928671636e+01, 5.2193671668e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202932e+00, 8.0565352633e+02, 1.4062735207e+01, 5.3000000132e+05, 
1.3936417161e+00, 9.1527151313e+02, 9.1585101626e+01, 6.2756782227e+05, 
1.1594203151e+00, 8.0565353834e+02, 1.4062741595e+01, 5.3000001071e+05, 
1.1594202909e+00, 8.0565352510e+02, 1.4062734544e+01, 5.3000000036e+05, 
1.1573606376e+00, 8.0293639115e+02, 1.4066906675e+01, 5.2872533107e+05, 
1.1649437088e+00, 8.0862218842e+02, 1.2503882313e+01, 5.3234649178e+05, 
1.5021436614e+00, 9.6366460711e+02, -9.6288519525e+01, 6.7214159820e+05, 
1.2079333764e+00, 8.3019485458e+02, 2.9374033200e+01, 5.5041927668e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.2344260272e+00, 8.4293689305e+02, -8.7555247713e+00, 5.6138426278e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1453064865e+00, 7.8940696163e+02, 1.3931220493e+01, 5.2231428107e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734229e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352454e+02, 1.4062734229e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.2807327930e+00, 8.6481340012e+02, 5.3676431992e+01, 5.8091683930e+05, 
1.2590807545e+00, 8.5486776140e+02, -1.6465123888e+01, 5.7163535679e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594208256e+00, 8.0565380619e+02, 1.4062591360e+01, 5.3000022631e+05, 
1.2799173758e+00, 8.6435116947e+02, 5.3060808917e+01, 5.8054017942e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.5034684190e+00, 9.6448592131e+02, -9.6609828418e+01, 6.7280699382e+05, 
1.4964865537e+00, 9.6136696309e+02, -9.4522354719e+01, 6.6984596112e+05, 
1.2501702024e+00, 8.5056443176e+02, -1.3690581157e+01, 5.6794196089e+05, 
1.3752839404e+00, 9.0786450920e+02, 8.5222200213e+01, 6.1988996572e+05, 
1.1594205888e+00, 8.0565368267e+02, 1.4062656969e+01, 5.3000012647e+05, 
1.1493596263e+00, 7.9400439021e+02, 1.3901217795e+01, 5.2452145147e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.3845863550e+00, 9.1213284183e+02, 8.8309854751e+01, 6.2405755145e+05, 
1.3938336489e+00, 9.1558213472e+02, 9.1612845952e+01, 6.2768696853e+05, 
1.2123927472e+00, 8.3235457858e+02, -1.8591110024e+00, 5.5210900019e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.4559460603e+00, 9.4287612943e+02, -8.0898228213e+01, 6.5293424419e+05, 
1.1594203064e+00, 8.0565353368e+02, 1.4062739087e+01, 5.3000000703e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594203020e+00, 8.0565353098e+02, 1.4062730814e+01, 5.3000000506e+05, 
8.7428636910e-01, 6.4305320847e+02, -6.4255049840e+01, 4.0749021671e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1610708647e+00, 8.0653911636e+02, 1.3620649100e+01, 5.3070108880e+05, 
1.2908867359e+00, 8.7074531790e+02, -2.6112089713e+01, 5.8495357818e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.0204991933e+00, 7.3035455088e+02, -2.6836220480e+01, 4.7087204636e+05, 
1.3941983257e+00, 9.1641007372e+02, 9.1718905674e+01, 6.2807155686e+05, 
1.3934621107e+00, 9.1558761174e+02, 9.1619993882e+01, 6.2767181321e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.3943156481e+00, 9.1643694874e+02, 9.1767056514e+01, 6.2807683297e+05, 
1.4994968459e+00, 9.6010932840e+02, -9.6061340797e+01, 6.7064462485e+05, 
1.0135629050e+00, 7.2640411693e+02, -2.8647054280e+01, 4.6789534663e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.3935532891e+00, 9.1576996889e+02, 9.1638762822e+01, 6.2770231292e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1987630354e+00, 8.2440412463e+02, 1.5481097876e+00, 5.4631535115e+05, 
1.1774303885e+00, 8.1468953657e+02, 1.9739074725e+01, 5.3757102936e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.3783371429e+00, 9.0951437259e+02, 8.6175977069e+01, 6.2147478325e+05, 
9.2989240920e-01, 6.7654425242e+02, -5.0294032172e+01, 4.3158269138e+05, 
1.1594265584e+00, 8.0565702592e+02, 1.4061016486e+01, 5.3000268192e+05, 
1.1594223921e+00, 8.0565468871e+02, 1.4062171181e+01, 5.3000089922e+05, 
1.3286528906e+00, 8.8700523603e+02, 6.9703040454e+01, 6.0084235522e+05, 
8.7468831616e-01, 6.4337006243e+02, -6.4174190530e+01, 4.0755832732e+05, 
