0, 6395, 4,
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.2123939044e+00, 8.3089101203e+02, 1.1286874056e+01, 5.5239281333e+05, 
1.2954757802e+00, 8.6058331306e+02, 6.1085017705e+01, 5.8342703013e+05, 
9.3786845880e-01, 6.7079574945e+02, 4.4834577434e+00, 4.3325121993e+05, 
1.3810309268e+00, 8.9804982391e+02, -6.0312395367e+01, 6.1890162910e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
1.1594202899e+00, 8.0565352455e+02, 1.4062734230e+01, 5.2999999991e+05, 
