1,
0, 4935, 4,
1.1574855984e+00, 1.4479524788e+01, -2.6904785514e+00, 2.5007956839e+05, 
1.1579117854e+00, 1.4651183386e+01, -9.6747565340e-01, 2.5021253182e+05, 
1.1572695807e+00, 1.5187458235e+01, -3.4047397610e-01, 2.5007634413e+05, 
1.1572838859e+00, 1.5236131859e+01, 4.0924253647e-01, 2.5008069921e+05, 
1.1578984731e+00, 1.4739361565e+01, 9.9727646854e-01, 2.5021013047e+05, 
1.1574798695e+00, 1.4585311188e+01, 2.7229073575e+00, 2.5007995941e+05, 
1.1593176057e+00, 4.0319383555e+01, -7.9408688406e-02, 2.5067022255e+05, 
1.1585396954e+00, 4.3070677085e+01, -3.6895206542e+00, 2.5054437650e+05, 
1.1593202122e+00, 4.0916842443e+01, 4.4264485488e-01, 2.5069235626e+05, 
1.1594809781e+00, 4.0474781207e+01, -1.2214032753e-01, 2.5072486087e+05, 
1.1585778690e+00, 4.3677924680e+01, 3.8478104739e+00, 2.5057728212e+05, 
1.1619314331e+00, 2.5485967179e+01, -1.1922809471e+01, 2.5109786590e+05, 
1.1593764281e+00, 3.9457155280e+01, 1.1337435838e+00, 2.5065901496e+05, 
1.1582272768e+00, 4.3521367754e+01, -5.1038541861e+00, 2.5046808110e+05, 
1.1604204789e+00, 3.6585840886e+01, 3.5464253378e+00, 2.5088264344e+05, 
1.1593148701e+00, 4.0308729558e+01, 6.9532398504e-02, 2.5066900123e+05, 
1.1598036001e+00, 4.0241960641e+01, 7.4096107350e-02, 2.5081389877e+05, 
1.1594885986e+00, 4.0080220064e+01, 2.8665983971e+00, 2.5071921292e+05, 
1.1605392915e+00, 3.6946080479e+01, 3.0368761998e+00, 2.5092936116e+05, 
1.1581251778e+00, 4.5143653301e+01, 2.9110229161e+00, 2.5049423106e+05, 
1.1584709978e+00, 4.3245503534e+01, -3.6276895220e+00, 2.5053021554e+05, 
1.1586158570e+00, 4.3510143243e+01, 3.8819317097e+00, 2.5058440917e+05, 
1.1593945590e+00, 4.0304723180e+01, 3.1102498575e-03, 2.5069282542e+05, 
1.1592825369e+00, 4.0329132572e+01, -7.8395827005e-02, 2.5065998841e+05, 
1.1599188566e+00, 3.8978941039e+01, -1.0650229964e+00, 2.5080741491e+05, 
1.1593383567e+00, 4.0326743853e+01, -2.2674360843e-02, 2.5067664845e+05, 
1.1596265441e+00, 4.0341309376e+01, -2.0620658570e-01, 2.5076406925e+05, 
1.1595895988e+00, 3.9686601093e+01, -2.3344809611e+00, 2.5073589428e+05, 
1.1588176684e+00, 4.2230847969e+01, 2.4423895648e+00, 2.5058976641e+05, 
1.1591900751e+00, 4.1244954955e+01, -4.2661654665e+00, 2.5067270113e+05, 
1.1588223119e+00, 4.2072724936e+01, -1.7781878005e+00, 2.5058571615e+05, 
1.1594610934e+00, 4.0290506731e+01, -5.5194162374e-03, 2.5071241955e+05, 
1.1589231551e+00, 4.1558888109e+01, -6.1289452071e-01, 2.5059558529e+05, 
1.1592969499e+00, 4.0325591019e+01, 6.7163166720e-02, 2.5066416855e+05, 
1.1574256094e+00, 4.4135103521e+01, 1.0857206902e+01, 2.5030154132e+05, 
1.1592762066e+00, 4.0407663470e+01, -5.8330435522e-02, 2.5066073415e+05, 
1.1577478584e+00, 4.4714678806e+01, 4.5407471260e+00, 2.5036769763e+05, 
1.1594148606e+00, 4.0378841862e+01, -1.0414462004e-02, 2.5070150512e+05, 
1.1595800672e+00, 3.9751579504e+01, 2.5438178516e+00, 2.5073492304e+05, 
1.1597325080e+00, 3.9736429624e+01, -9.2673737284e-01, 2.5077615418e+05, 
1.1597824574e+00, 3.9723259887e+01, 7.4567127907e-01, 2.5079024273e+05, 
1.1593632403e+00, 4.0315593392e+01, 2.2272303261e-02, 2.5068376366e+05, 
1.1593044179e+00, 4.0978695162e+01, 3.4170618617e-01, 2.5068972963e+05, 
1.1576350524e+00, 4.5094304508e+01, -2.5323815532e-01, 2.5034314220e+05, 
1.1598439218e+00, 4.0232810380e+01, -5.1283711881e-02, 2.5082572163e+05, 
1.1594607481e+00, 4.0526665119e+01, -8.4503769703e-01, 2.5072138968e+05, 
1.1587888183e+00, 4.2279526221e+01, 3.1772145519e+00, 2.5058767969e+05, 
1.1598586213e+00, 3.8530750826e+01, -2.7005266580e+00, 2.5078334778e+05, 
1.1578997120e+00, 4.4966308331e+01, -1.1120820864e+00, 2.5041680434e+05, 
1.1597353492e+00, 4.0393830208e+01, 4.5067907448e+00, 2.5080447309e+05, 
1.1603093994e+00, 3.7871421056e+01, 3.1295777172e+00, 2.5089156517e+05, 
1.1597991565e+00, 3.9116886166e+01, 2.1527497492e+00, 2.5078082567e+05, 
1.1595036206e+00, 4.0431667464e+01, -2.8516724503e-01, 2.5073019719e+05, 
1.1595915605e+00, 4.0166533306e+01, -9.1728597799e-01, 2.5074840700e+05, 
1.1595609843e+00, 4.0324964503e+01, 6.5988124928e-01, 2.5074417672e+05, 
1.1585226092e+00, 4.3112332715e+01, -6.7141975706e-01, 2.5053330536e+05, 
1.1591457294e+00, 4.0587429519e+01, 4.1804785741e-01, 2.5062791914e+05, 
1.1598094519e+00, 4.0295271997e+01, 9.7571793949e-02, 2.5081753528e+05, 
1.1594415745e+00, 4.0498558270e+01, -1.6656123114e-02, 2.5071384943e+05, 
1.1596785951e+00, 4.0326331822e+01, 1.9937997439e-01, 2.5077924579e+05, 
1.1593566011e+00, 4.0813243828e+01, 2.4297250977e-01, 2.5069948593e+05, 
1.1596031218e+00, 4.0260487520e+01, 6.0577772746e-01, 2.5075450608e+05, 
1.1595336092e+00, 4.0400175382e+01, -3.9870931835e-01, 2.5073825583e+05, 
1.1593954901e+00, 4.0407864612e+01, -3.8375780892e-02, 2.5069669376e+05, 
1.1595702001e+00, 4.0213697024e+01, 2.8497348954e-01, 2.5074292890e+05, 
1.1598146189e+00, 3.8624397980e+01, -3.0268851528e+00, 2.5077397695e+05, 
1.1594023914e+00, 4.0301917642e+01, 1.0200095579e-03, 2.5069509177e+05, 
1.1596524518e+00, 4.0158306666e+01, 4.9891424118e-01, 2.5076572462e+05, 
1.1592775464e+00, 4.0066621585e+01, -1.9754186815e+00, 2.5065122565e+05, 
1.1594541484e+00, 4.1346707728e+01, 4.6424143848e+00, 2.5075332817e+05, 
1.1594186583e+00, 4.0240502365e+01, -3.0990546670e-01, 2.5069798766e+05, 
1.1593717440e+00, 4.0305919338e+01, -2.0182813854e-02, 2.5068599088e+05, 
1.1585158286e+00, 4.2968556175e+01, -9.6911724563e-01, 2.5052473205e+05, 
1.1589879419e+00, 4.1412119727e+01, -5.3245696389e-01, 2.5060978582e+05, 
1.1594275167e+00, 4.0311174403e+01, 8.0660897193e-03, 2.5070298456e+05, 
1.1595934596e+00, 4.0189397505e+01, 2.5240039503e-01, 2.5074917317e+05, 
1.1599876482e+00, 3.8650998904e+01, -1.1655017374e+00, 2.5082052789e+05, 
1.1582826229e+00, 4.4499629631e+01, -4.0832591107e+00, 2.5051158878e+05, 
1.1595951616e+00, 4.0195710170e+01, -7.4417852624e-01, 2.5075015040e+05, 
1.1587763624e+00, 4.2228207039e+01, -1.5451108176e+00, 2.5057697089e+05, 
1.1587384424e+00, 4.1826980619e+01, 1.7769922183e+00, 2.5055046522e+05, 
1.1589566274e+00, 4.1761218676e+01, 1.2891184289e-01, 2.5061287630e+05, 
1.1576612976e+00, 4.5104955458e+01, -6.0879017410e-01, 2.5035156512e+05, 
1.1592525595e+00, 4.0410720820e+01, -1.9700609362e-02, 2.5065371944e+05, 
1.1594639484e+00, 4.0303420618e+01, 5.5209590924e-02, 2.5071369010e+05, 
1.1590770151e+00, 4.0861296978e+01, -3.2938969481e+00, 2.5062111486e+05, 
1.1597716666e+00, 4.0293415687e+01, -1.9946964325e-01, 2.5080612466e+05, 
1.1595452444e+00, 4.0231077562e+01, 1.8267965548e+00, 2.5073916488e+05, 
1.1598574419e+00, 3.9089117249e+01, -1.2195393080e+00, 2.5079285962e+05, 
1.1594403709e+00, 4.0502988883e+01, 2.2287103486e-02, 2.5071363989e+05, 
1.1567711997e+00, 4.7900257321e+01, -2.4016131372e+00, 2.5019651226e+05, 
1.1596185074e+00, 4.0232919610e+01, 1.2902463461e-02, 2.5075788786e+05, 
1.1592997061e+00, 4.0410820865e+01, -5.1279149611e-02, 2.5066792577e+05, 
1.1592346983e+00, 3.6562714373e+01, 9.7955464023e+00, 2.5056229510e+05, 
1.1596047322e+00, 4.0220212391e+01, 1.3168706162e-02, 2.5075327079e+05, 
1.1609477062e+00, 3.4565029617e+01, 8.6502995315e+00, 2.5101073848e+05, 
1.1595036657e+00, 4.0408388851e+01, -4.1166256965e-02, 2.5072932062e+05, 
1.1593451949e+00, 4.0551560772e+01, -2.2532166000e+00, 2.5069057655e+05, 
1.1585989904e+00, 4.2486592990e+01, -3.3942252374e+00, 2.5054290151e+05, 
1.1594238367e+00, 4.0293643647e+01, -1.6361342338e-02, 2.5070125331e+05, 
1.1584607902e+00, 4.3193725155e+01, -1.0540192838e+00, 2.5051638242e+05, 
1.1591229593e+00, 4.1894200128e+01, -4.7363343032e+00, 2.5067226510e+05, 
1.1597249061e+00, 4.0076262316e+01, -1.7398793808e-01, 2.5078449598e+05, 
1.1594282246e+00, 4.0305143396e+01, -3.4810042546e-03, 2.5070303723e+05, 
1.1598281499e+00, 3.9938653887e+01, -2.9826541590e-01, 2.5081132895e+05, 
1.1599277072e+00, 4.0227219842e+01, 3.0520937759e-02, 2.5085077006e+05, 
1.1586203697e+00, 4.3065674757e+01, -4.0515000716e+00, 2.5056435470e+05, 
1.1583523261e+00, 4.3744127190e+01, -3.4757446104e+00, 2.5051286068e+05, 
1.1596000314e+00, 3.9541836090e+01, 3.1758433761e+00, 2.5073769188e+05, 
1.1601602215e+00, 3.8217146098e+01, 2.7527182529e+00, 2.5086312273e+05, 
1.1592561122e+00, 4.1209971486e+01, 4.2395486393e+00, 2.5069768321e+05, 
1.1575809218e+00, 4.6651676935e+01, -1.4229467821e+00, 2.5037712487e+05, 
1.1592786857e+00, 4.0885768384e+01, -1.1200129101e+00, 2.5067962443e+05, 
1.1593588804e+00, 4.0319344125e+01, 1.2992618344e-01, 2.5068273534e+05, 
1.1584295968e+00, 4.3243853801e+01, -1.2281667777e+00, 2.5051003925e+05, 
1.1598546343e+00, 3.9419733096e+01, -8.7786407953e-01, 2.5080231003e+05, 
1.1598017715e+00, 3.9808970453e+01, 4.1423476253e+00, 2.5080485496e+05, 
1.1595614760e+00, 4.0271185609e+01, 8.1879744245e-02, 2.5074198138e+05, 
1.1599121806e+00, 3.8397753980e+01, -2.5511907392e+00, 2.5079461087e+05, 
1.1580574857e+00, 4.5504363615e+01, 2.6257542288e+00, 2.5048564563e+05, 
1.1598501183e+00, 3.8256733539e+01, -3.3821485703e+00, 2.5076784428e+05, 
1.1595862039e+00, 3.9968007348e+01, 1.8985915523e+00, 2.5074248991e+05, 
1.1593805324e+00, 4.0299817011e+01, -2.2172145666e-02, 2.5068842682e+05, 
1.1589812189e+00, 4.1254229326e+01, -3.9132840643e+00, 2.5061582585e+05, 
1.1586307615e+00, 4.1962843936e+01, -5.6946923565e+00, 2.5053844955e+05, 
1.1595483240e+00, 4.0380835987e+01, -3.5432095639e-02, 2.5074180281e+05, 
1.1598502009e+00, 3.9472109682e+01, 6.9205666532e-01, 2.5080226177e+05, 
1.1597502829e+00, 4.0248242398e+01, -5.5511319745e-02, 2.5079804592e+05, 
1.1594801132e+00, 4.0464594234e+01, -9.6439964361e-02, 2.5072424594e+05, 
1.1597480366e+00, 4.0208798550e+01, 1.4802548416e-01, 2.5079603454e+05, 
1.1593554102e+00, 4.0278407545e+01, 4.4937705291e-02, 2.5068014464e+05, 
1.1596792922e+00, 4.0302792946e+01, 8.0243371841e-03, 2.5077853563e+05, 
1.1596937678e+00, 4.0163834631e+01, 1.5134979229e-02, 2.5077815839e+05, 
1.1595888525e+00, 4.0275035181e+01, 1.1119473386e-01, 2.5075034814e+05, 
1.1593419667e+00, 4.0320811311e+01, -8.5729737444e-02, 2.5067762326e+05, 
1.1591544094e+00, 4.0316161518e+01, -2.0067455037e+00, 2.5062299489e+05, 
1.1595844426e+00, 3.9364763999e+01, -3.8627458660e+00, 2.5073212752e+05, 
1.1597719090e+00, 4.0113348369e+01, -1.8836940596e-01, 2.5079995949e+05, 
1.1595456460e+00, 4.0248262608e+01, -1.0233213822e-01, 2.5073641204e+05, 
1.1652130264e+00, 2.7538775221e+01, -1.4811662628e+01, 2.5213752247e+05, 
1.1593083699e+00, 4.0308945509e+01, 6.9640677787e-02, 2.5066703101e+05, 
1.1599452498e+00, 3.9060817852e+01, 9.6543737828e-01, 2.5081785694e+05, 
1.1598612856e+00, 3.9890504048e+01, -2.3513117740e-01, 2.5081974225e+05, 
