0, 2224, 4,
1.1594202899e+00, 2.2720923564e-14, -4.2223128885e-14, 2.5000000000e+05, 
1.4492753623e-01, -1.4402204774e-14, -7.5787824439e-15, 2.5000000000e+04, 
1.4492753623e-01, -1.1291622332e-15, 1.3528550530e-15, 2.5000000000e+04, 
1.1594202899e+00, -9.9220045236e-14, -4.9785828571e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.6585724887e-13, -6.8274501161e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.0953483689e-13, 5.9866298649e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.2289399564e-13, 3.1644042139e-14, 2.5000000000e+05, 
1.1594202899e+00, 4.3414904366e-14, 3.5416388180e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.6456072957e-16, 3.4330492195e-15, 2.5000000000e+05, 
1.1594202899e+00, -1.4835461871e-13, 7.9658891079e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.1805322226e-14, -1.7177889647e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.1823233882e-13, 2.2935302971e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.0000511930e-13, -6.2935340603e-15, 2.5000000000e+05, 
1.1594202899e+00, 1.0053306363e-14, 6.9629636958e-14, 2.5000000000e+05, 
1.1594202899e+00, -6.9146586240e-14, -3.8156333929e-14, 2.5000000000e+05, 
1.1594202899e+00, -3.9071453728e-14, -1.1062008673e-14, 2.5000000000e+05, 
1.1594202899e+00, -4.8066713914e-14, -6.8166576574e-15, 2.5000000000e+05, 
1.1594202899e+00, 1.9684868265e-14, -5.2091629041e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.7089601158e-13, 1.5824124038e-13, 2.5000000000e+05, 
1.1594202899e+00, -8.2191724978e-14, -1.3720163726e-13, 2.5000000000e+05, 
1.1594202899e+00, 5.9765540350e-14, -4.7539799678e-14, 2.5000000000e+05, 
1.1594202899e+00, -3.4998960882e-14, 6.2050726750e-14, 2.5000000000e+05, 
1.1594202899e+00, -8.7219983193e-14, -4.5882501135e-14, 2.5000000000e+05, 
1.1594202899e+00, -4.6197903948e-14, 1.4743515806e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.3901800297e-13, -1.5925147700e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.2704619024e-12, 3.9125340342e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.1615446471e-11, 4.8865545626e-12, 2.5000000000e+05, 
1.1594202899e+00, 9.5899841842e-11, 3.1643143047e-11, 2.5000000000e+05, 
1.1594202899e+00, 8.4921709686e-10, 2.5554199043e-10, 2.5000000000e+05, 
1.1594202898e+00, 6.3586922249e-09, 1.2068301610e-09, 2.4999999999e+05, 
1.1594202897e+00, 4.3944050416e-08, 1.2666939670e-08, 2.4999999996e+05, 
1.1594202890e+00, 2.7604753539e-07, 3.1804099489e-08, 2.4999999975e+05, 
1.1594202847e+00, 1.6308987327e-06, 3.0078663561e-07, 2.4999999845e+05, 
1.1594202623e+00, 7.9200841381e-06, 2.0889753778e-06, 2.4999999167e+05, 
1.1594201672e+00, 3.6466885615e-05, 1.2264434582e-05, 2.4999996298e+05, 
1.1594196969e+00, 1.5741804399e-04, 7.1052081311e-05, 2.4999982102e+05, 
1.1594174673e+00, 9.2969702967e-04, 1.3096749676e-04, 2.4999914793e+05, 
1.1594078875e+00, 3.9765388676e-03, 4.3898932855e-04, 2.4999625608e+05, 
1.1593776091e+00, 1.3971348289e-02, 1.1060946463e-03, 2.4998711603e+05, 
1.1592778925e+00, 4.3110115654e-02, 7.4073164441e-03, 2.4995701650e+05, 
1.1590329551e+00, 1.2606253360e-01, 1.2568977360e-02, 2.4988309462e+05, 
1.1583557097e+00, 3.3340538079e-01, 6.4127122991e-02, 2.4967877495e+05, 
1.1569161223e+00, 8.0520608438e-01, 1.2692154563e-01, 2.4924486381e+05, 
1.1537292413e+00, 1.8389483475e+00, 2.7390602011e-01, 2.4828605628e+05, 
1.1474377457e+00, 3.9882698637e+00, -7.1689210036e-02, 2.4640109270e+05, 
1.1382967390e+00, 6.2804458055e+00, 9.5685347485e-01, 2.4367152466e+05, 
1.1255751493e+00, 9.5210490668e+00, 2.0529971180e+00, 2.3989952692e+05, 
1.1078359306e+00, 1.6265997128e+01, 1.6912198119e+00, 2.3472190558e+05, 
1.0825379052e+00, 2.4020588653e+01, 2.0652688557e+00, 2.2742118434e+05, 
1.0557042080e+00, 3.2790133941e+01, 1.6519236638e+00, 2.1986662003e+05, 
1.0222737159e+00, 4.3021078881e+01, 9.4110433413e-01, 2.1063869365e+05, 
