1,
0, 3022, 4,
3.0861663345e-01, 8.3791277664e+01, -4.8806840849e-03, 8.7277113497e+04, 
3.6275457038e-01, 9.8696474338e+01, -1.6481457557e-03, 8.9153241707e+04, 
5.0712361418e-01, 1.3822333114e+02, -2.2680801692e-02, 9.4515441062e+04, 
4.9453208194e-01, 1.3478172352e+02, 2.4205810653e-02, 9.4127676979e+04, 
4.9457789711e-01, 1.3488464483e+02, -1.1181678059e-02, 9.4063716052e+04, 
4.9384191171e-01, 1.3460552722e+02, 8.4484171573e-03, 9.4067584069e+04, 
4.9387271939e-01, 1.3458373707e+02, 1.1280273139e-02, 9.4019175989e+04, 
4.9457597264e-01, 1.3468489616e+02, 3.8349937805e-03, 9.4139867569e+04, 
4.9468296157e-01, 1.3474084782e+02, 1.6990777199e-03, 9.4193256222e+04, 
4.9410715767e-01, 1.3460842166e+02, 5.8287863106e-03, 9.4052416518e+04, 
5.5228489716e-01, 1.3222600937e+02, 5.2991509873e-03, 1.0434569803e+05, 
5.1059038667e-01, 1.3429668853e+02, 2.2135213872e-02, 9.6952447694e+04, 
4.9362423724e-01, 1.3458395101e+02, -7.0044583960e-04, 9.4001361893e+04, 
6.4828432555e-01, 1.2361717252e+02, 2.4991102862e-05, 1.2256787853e+05, 
7.0112713216e-01, 1.1658865879e+02, 6.7362730433e-03, 1.3330929552e+05, 
5.9853551405e-01, 1.2874542009e+02, 2.3612061380e-03, 1.1290601807e+05, 
7.5746135085e-01, 1.0746957337e+02, 5.0532407210e-03, 1.4537150533e+05, 
8.1723039456e-01, 9.5845771903e+01, 9.2133856044e-03, 1.5882367103e+05, 
8.8117965316e-01, 8.1743434421e+01, 1.6260210586e-02, 1.7402793999e+05, 
9.4905775763e-01, 6.4690497086e+01, 1.0670118216e-02, 1.9109338034e+05, 
1.0213179163e+00, 4.4413886134e+01, 1.4541966315e-02, 2.1029041006e+05, 
1.0994380565e+00, 2.0092618874e+01, 1.4401365941e-02, 2.3226091672e+05, 
3.0883333221e-01, 8.3969114380e+01, 1.0666111880e-02, 8.7290403363e+04, 
3.0843279039e-01, 8.3739518722e+01, -1.4076556627e-03, 8.7387536343e+04, 
3.0836715485e-01, 8.3882414773e+01, 4.8533237219e-02, 8.7502414663e+04, 
