0, 1767, 4,
1.1594203808e+00, 4.6818260954e-04, 4.1564466347e-04, 2.5000002748e+05, 
1.4492753623e-01, 3.5997602661e-15, -1.6685590378e-14, 2.5000000000e+04, 
1.4492753623e-01, -1.3510998829e-14, 1.0947382240e-14, 2.5000000000e+04, 
1.1594203021e+00, -4.5111186105e-04, 4.0929646257e-04, 2.5000000369e+05, 
1.1594204799e+00, -8.7937580181e-04, -6.9001524660e-04, 2.5000005741e+05, 
1.1594203615e+00, 1.0292886399e-04, -3.7944942470e-03, 2.5000002178e+05, 
1.1594202907e+00, 9.2339199911e-04, -1.1415273634e-03, 2.5000000019e+05, 
1.1594203172e+00, -9.1924241850e-05, -3.5505405819e-05, 2.5000000826e+05, 
1.1594203035e+00, -3.9230553921e-05, -1.5181385577e-05, 2.5000000411e+05, 
1.1594202877e+00, -1.9803848444e-05, -1.2336212051e-05, 2.4999999936e+05, 
1.1594202780e+00, -1.3268184449e-05, -7.6939866691e-06, 2.4999999642e+05, 
1.1594202685e+00, -8.1654670139e-06, -6.8128388625e-06, 2.4999999356e+05, 
1.1594202532e+00, -6.8542750127e-06, -7.7178842824e-06, 2.4999998894e+05, 
1.1594202314e+00, -9.8554168668e-06, -7.1879870499e-06, 2.4999998234e+05, 
1.1594202215e+00, -1.1690108047e-05, -2.5553378344e-06, 2.4999997937e+05, 
1.1594202239e+00, -1.0466930089e-05, 2.2545791871e-06, 2.4999998009e+05, 
1.1594202273e+00, -1.2914363653e-05, 5.1800091709e-06, 2.4999998113e+05, 
1.1594202522e+00, -9.3216764608e-06, 6.6478888780e-06, 2.4999998862e+05, 
1.1594203085e+00, 5.4827544079e-06, 4.5302359181e-06, 2.5000000563e+05, 
1.1594203494e+00, 1.8353891211e-05, 8.2206542020e-07, 2.5000001797e+05, 
1.1594203483e+00, 1.8112769096e-05, -1.8226294850e-06, 2.5000001765e+05, 
1.1594203086e+00, 5.3436157424e-06, -2.4570566738e-06, 2.5000000565e+05, 
1.1594202731e+00, -5.7101344860e-06, -7.8770497776e-07, 2.4999999493e+05, 
1.1594202692e+00, -6.8487839483e-06, 4.2736484982e-07, 2.4999999378e+05, 
1.1594202821e+00, -2.5838891345e-06, 4.2290991312e-07, 2.4999999767e+05, 
1.1594202890e+00, -3.2960978626e-07, 2.9751028580e-08, 2.4999999975e+05, 
1.1594202898e+00, -2.6313983518e-08, -1.5851089233e-08, 2.4999999998e+05, 
1.1594202897e+00, -4.4777585931e-08, 7.0215319729e-09, 2.4999999996e+05, 
1.1594202898e+00, -4.8643514434e-09, 1.7287026322e-09, 2.5000000000e+05, 
1.1594202899e+00, 3.2911882401e-09, -9.6940223146e-10, 2.5000000000e+05, 
1.1594202899e+00, -5.0184344399e-10, -1.2602070977e-11, 2.5000000000e+05, 
1.1594202899e+00, -2.4320857201e-10, 6.5958771336e-11, 2.5000000000e+05, 
1.1594202899e+00, 6.3355165422e-11, -1.8643158469e-11, 2.5000000000e+05, 
1.1594202899e+00, 1.1022593726e-12, -1.5271574475e-12, 2.5000000000e+05, 
1.1594202899e+00, -4.3312383392e-12, 1.2037764876e-12, 2.5000000000e+05, 
1.1594202899e+00, 7.1934055858e-13, -2.9974356702e-13, 2.5000000000e+05, 
1.1594202899e+00, 2.2124905130e-14, -1.4443256442e-13, 2.5000000000e+05, 
1.1594202899e+00, -1.7145581110e-13, 8.0402780615e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.0900890253e-14, 3.8862574500e-14, 2.5000000000e+05, 
1.1594202899e+00, 4.6676308495e-14, 7.8315226554e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.1565843217e-13, -1.0204717140e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.4825567021e-13, 6.6054922667e-14, 2.5000000000e+05, 
1.1594202899e+00, 8.4668057036e-15, -5.4948579218e-14, 2.5000000000e+05, 
1.1594202899e+00, -6.0284785474e-14, 1.4588276027e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.5607104195e-13, 2.8302846694e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.2459769172e-13, -7.7202134860e-14, 2.5000000000e+05, 
1.1594202899e+00, 3.5369860600e-13, 1.0806057375e-13, 2.5000000000e+05, 
1.1594202899e+00, 9.0960435717e-14, 1.9336855475e-14, 2.5000000000e+05, 
1.1594202899e+00, 4.8466152887e-14, -1.4549823189e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.4881949403e-13, 2.4260910185e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.6016458866e-13, 4.5446467557e-15, 2.5000000000e+05, 
1.1594202899e+00, -1.2316378065e-13, 9.1807176793e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.1983276466e-13, -1.0084607984e-13, 2.5000000000e+05, 
1.1594202899e+00, 3.9778551542e-14, 4.5416294051e-14, 2.5000000000e+05, 
1.1594202899e+00, 4.4711011091e-14, 9.7048942457e-14, 2.5000000000e+05, 
1.1594202899e+00, 3.2403116288e-14, -3.9864619254e-15, 2.5000000000e+05, 
1.1594202899e+00, 1.7508522016e-13, -8.8892589107e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.5277812071e-13, -8.6734364233e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.1221036112e-14, 6.0102389603e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.9639745726e-14, -4.9477334609e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.7955283748e-14, 1.1625217812e-13, 2.5000000000e+05, 
1.1594202899e+00, -1.6803253559e-13, 9.3120680961e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.1711749584e-13, -7.7587967203e-14, 2.5000000000e+05, 
1.1594202899e+00, -4.6809454839e-14, -4.2476410342e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.2752943049e-13, -8.4127281266e-15, 2.5000000000e+05, 
1.1594202899e+00, -2.0768230718e-13, -8.7980644521e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.2624457321e-13, 9.2798502436e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.0558693838e-13, -1.4046585441e-14, 2.5000000000e+05, 
1.1594202899e+00, -3.9904281285e-14, -1.1216865983e-13, 2.5000000000e+05, 
1.1594202899e+00, 5.7538750828e-14, -5.0637806289e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.2043969657e-13, -5.3362217884e-17, 2.5000000000e+05, 
1.1594202899e+00, 1.4281470049e-13, -8.3909270651e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.0491292991e-13, -1.1034447510e-13, 2.5000000000e+05, 
1.1594202899e+00, 4.2995825729e-14, -2.0591344720e-13, 2.5000000000e+05, 
