0, 1767, 4,
1.1594202899e+00, 1.3252250586e-13, -9.2387071087e-14, 2.5000000000e+05, 
1.4492753623e-01, 9.0174553899e-16, -9.0968451310e-16, 2.5000000000e+04, 
1.4492753623e-01, -1.2652883769e-14, 2.3757901657e-14, 2.5000000000e+04, 
1.1594202899e+00, 3.9845429561e-15, -2.4185734931e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.4855170080e-13, -1.5404185446e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.3684520819e-13, -4.0340235301e-14, 2.5000000000e+05, 
1.1594202899e+00, 8.7009770846e-14, 6.4713160737e-14, 2.5000000000e+05, 
1.1594202899e+00, -6.8252912977e-14, 9.9559792472e-15, 2.5000000000e+05, 
1.1594202899e+00, -8.1897132985e-14, 6.5364685918e-14, 2.5000000000e+05, 
1.1594202899e+00, -6.3392973334e-14, -6.1732807742e-14, 2.5000000000e+05, 
1.1594202899e+00, -8.5719402605e-14, 2.6780676122e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.8412610105e-13, 3.3169006852e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.2158270288e-14, -3.0296143386e-14, 2.5000000000e+05, 
1.1594202899e+00, 8.0713351113e-14, 6.8163796008e-14, 2.5000000000e+05, 
1.1594202899e+00, 5.8398459878e-14, -3.0551231306e-14, 2.5000000000e+05, 
1.1594202899e+00, 3.5451100057e-13, -9.9350101865e-14, 2.5000000000e+05, 
1.1594202899e+00, 2.4989477744e-13, 1.4644916702e-13, 2.5000000000e+05, 
1.1594202899e+00, 8.3773656288e-14, -8.1653814532e-14, 2.5000000000e+05, 
1.1594202899e+00, -4.9244994488e-14, 1.6880648818e-13, 2.5000000000e+05, 
1.1594202899e+00, -2.7247685274e-13, -1.2808885633e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.1476596273e-13, -5.6292272485e-14, 2.5000000000e+05, 
1.1594202899e+00, 9.8583691118e-14, 4.3299331051e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.0903683048e-13, 1.1714638494e-14, 2.5000000000e+05, 
1.1594202899e+00, -3.9399083343e-14, 1.0254579852e-13, 2.5000000000e+05, 
1.1594202899e+00, 1.0516935701e-13, -9.1130140453e-14, 2.5000000000e+05, 
1.1594202899e+00, 3.2990016209e-13, 1.3325536099e-14, 2.5000000000e+05, 
1.1594202899e+00, 1.0277027253e-13, 3.7101888518e-14, 2.5000000000e+05, 
1.1594202899e+00, -1.0960206543e-13, 8.3307842482e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.2978302568e-13, 1.8248790907e-14, 2.5000000000e+05, 
1.1594202899e+00, -2.2669653834e-13, -4.0486900035e-14, 2.5000000000e+05, 
1.1594202899e+00, 7.8264960391e-14, -3.6981869974e-14, 2.5000000000e+05, 
