1,
0, 5966, 4,
1.1594202899e+00, 8.0577624830e+02, 4.0313238880e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.8059090175e-13, 5.3000000000e+05, 
2.3655176474e+00, 1.1020835826e+03, 3.9942008240e+02, 1.0018434354e+06, 
2.3579074124e+00, 1.1088484578e+03, 4.0640571888e+02, 9.9947344931e+05, 
2.3570497742e+00, 1.1041939888e+03, 4.0508987516e+02, 9.9900687198e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.8648310454e-13, 5.3000000000e+05, 
2.3438118281e+00, 1.0905627682e+03, 3.9835111697e+02, 9.9510237225e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.0090343893e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 9.4498233960e-14, 5.3000000000e+05, 
2.3641065770e+00, 1.0970622799e+03, 3.9751956586e+02, 1.0013485992e+06, 
1.1594202899e+00, 8.0577624830e+02, -9.8626869704e-16, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.0799798527e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.7847944792e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.0098159875e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.7475243223e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.2713179179e-14, 5.3000000000e+05, 
1.7357841793e+00, 9.9374048748e+02, 1.8364518242e+02, 7.5779006895e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.8066854708e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.4233717431e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.5607521898e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 7.9302333574e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.5274071593e-14, 5.3000000000e+05, 
2.3630939051e+00, 1.1068600684e+03, 4.0604486181e+02, 1.0023505687e+06, 
1.1594202899e+00, 8.0577624830e+02, 7.3858444162e-14, 5.3000000000e+05, 
2.3632881006e+00, 1.1036508030e+03, 4.0377256254e+02, 1.0016680783e+06, 
2.3615181140e+00, 1.0949436710e+03, 3.9830205502e+02, 9.9780586806e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.6799705612e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.0174903180e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.1629693076e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 4.3412257643e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.3567842583e-15, 5.3000000000e+05, 
2.3777046250e+00, 1.1115344109e+03, 4.0303829762e+02, 1.0095780724e+06, 
1.1594202899e+00, 8.0577624830e+02, 2.4368965295e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.3259993854e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624831e+02, 3.2295925471e-09, 5.3000000001e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.0640869899e-13, 5.3000000000e+05, 
2.3795530624e+00, 1.1130445971e+03, 4.0387010926e+02, 1.0082814267e+06, 
2.3239734388e+00, 1.0597909345e+03, 3.8507126540e+02, 9.8283912085e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.3734658813e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.3804225602e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.4019279947e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.4126264441e-13, 5.3000000000e+05, 
2.3595018596e+00, 1.1059693350e+03, 4.0494278198e+02, 1.0045850807e+06, 
1.1594202899e+00, 8.0577624830e+02, 6.8829956098e-12, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.7082197402e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.4924213254e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.4218084620e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.4540737741e-12, 5.3000000000e+05, 
2.3605546063e+00, 1.1006998999e+03, 4.0131149020e+02, 9.9947591571e+05, 
2.3704604622e+00, 1.0992108320e+03, 3.9863376839e+02, 1.0009328467e+06, 
1.1594202899e+00, 8.0577624830e+02, 1.8008708732e-13, 5.3000000000e+05, 
2.3688176166e+00, 1.1092482390e+03, 4.0515794787e+02, 1.0011524608e+06, 
1.1594202899e+00, 8.0577624830e+02, 2.6038481628e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.0175536300e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.8248615222e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.8772138610e-13, 5.3000000000e+05, 
2.3893044781e+00, 1.1134642253e+03, 4.0269646036e+02, 1.0100350630e+06, 
1.1594202899e+00, 8.0577624830e+02, 3.2098755072e-14, 5.3000000000e+05, 
2.3748794268e+00, 1.1040692799e+03, 3.9859299506e+02, 1.0059183950e+06, 
1.1594202899e+00, 8.0577624830e+02, 2.0670948893e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.7717632302e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.4457285398e-13, 5.3000000000e+05, 
2.3731165998e+00, 1.1044320614e+03, 4.0379475384e+02, 1.0029869680e+06, 
1.1594202899e+00, 8.0577624830e+02, 5.8201769347e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -3.1757240483e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.0810302033e-13, 5.3000000000e+05, 
2.3507629027e+00, 1.0887288920e+03, 3.9439456641e+02, 9.9438787459e+05, 
2.3700954774e+00, 1.1029205411e+03, 4.0359759336e+02, 1.0035776965e+06, 
1.1594202899e+00, 8.0577624830e+02, 1.9764154378e-13, 5.3000000000e+05, 
2.3606447296e+00, 1.1112956557e+03, 4.0712806016e+02, 1.0009313537e+06, 
1.1594202899e+00, 8.0577624830e+02, -7.2895083906e-11, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -9.3570910617e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.3190666726e-13, 5.3000000000e+05, 
2.3653458490e+00, 1.1022321990e+03, 4.0031344469e+02, 9.9952460412e+05, 
2.3678454709e+00, 1.1049734361e+03, 4.0249579822e+02, 1.0033806300e+06, 
1.1594202899e+00, 8.0577624830e+02, -2.8830883320e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.2809461165e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.7101022955e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 6.6642466347e-15, 5.3000000000e+05, 
2.3752471456e+00, 1.1165539382e+03, 4.0571130229e+02, 1.0084018945e+06, 
1.1594202899e+00, 8.0577624830e+02, -1.5431910362e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.6917775322e-14, 5.3000000000e+05, 
2.3485335473e+00, 1.0884832118e+03, 3.9408962041e+02, 9.9336925446e+05, 
2.3804479518e+00, 1.1043159744e+03, 4.0309351007e+02, 1.0052441215e+06, 
2.3620434414e+00, 1.0961899831e+03, 3.9831666181e+02, 9.9849394883e+05, 
1.1594202899e+00, 8.0577624830e+02, 8.5686292430e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.9887631142e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.8692375740e-13, 5.3000000000e+05, 
1.8701184432e+00, 9.8908388964e+02, 2.1985172622e+02, 8.0182863327e+05, 
2.3591330319e+00, 1.0934869306e+03, 3.9688359625e+02, 9.9570352153e+05, 
1.1594202899e+00, 8.0577624830e+02, -3.5340895031e-13, 5.3000000000e+05, 
2.3646492309e+00, 1.1051089089e+03, 3.9950961392e+02, 1.0019101810e+06, 
2.3706432425e+00, 1.1137001015e+03, 4.0478137292e+02, 1.0074185397e+06, 
1.1594202899e+00, 8.0577624830e+02, 2.3805169822e-13, 5.3000000000e+05, 
2.3655779265e+00, 1.1039297912e+03, 4.0134050962e+02, 1.0033659437e+06, 
2.3702200916e+00, 1.1083367222e+03, 4.0170771318e+02, 1.0043162421e+06, 
2.4608799227e+00, 1.1767256459e+03, 4.2737423949e+02, 1.0337765496e+06, 
1.1594202899e+00, 8.0577624830e+02, -1.6218032145e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.7826311090e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.2132655046e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.1209955530e-13, 5.3000000000e+05, 
2.3359171389e+00, 1.0696755641e+03, 3.9198399633e+02, 9.8258683785e+05, 
2.3971409346e+00, 1.1396257486e+03, 4.1039099414e+02, 1.0215568472e+06, 
1.1594202899e+00, 8.0577624830e+02, 1.0143768491e-12, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.5575235397e-11, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.9454327654e-14, 5.3000000000e+05, 
2.3657798356e+00, 1.1004735324e+03, 4.0077785301e+02, 1.0015707214e+06, 
1.1594202899e+00, 8.0577624830e+02, 9.2399564538e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -3.8614331970e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.2297661595e-13, 5.3000000000e+05, 
2.3634524966e+00, 1.1004902822e+03, 4.0059488478e+02, 9.9969220113e+05, 
2.3638237644e+00, 1.1014007997e+03, 4.0119788611e+02, 1.0002318276e+06, 
1.1594202899e+00, 8.0577624830e+02, 3.2635914837e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -9.7680583915e-14, 5.3000000000e+05, 
2.3765265527e+00, 1.1074484138e+03, 4.0194066736e+02, 1.0080320779e+06, 
1.1594202899e+00, 8.0577624830e+02, 2.5311837562e-13, 5.3000000000e+05, 
