0, 3080, 4,
1.1594202899e+00, 8.0577624830e+02, 1.4079256049e-14, 5.3000000000e+05, 
1.4184076859e+00, 8.6362120911e+02, 6.3044667952e+01, 6.2910685684e+05, 
2.3319528128e+00, 1.0711213866e+03, 3.8967822922e+02, 9.8733934484e+05, 
1.1594202899e+00, 8.0577624830e+02, 5.2994310283e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.2108132614e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 6.3593044516e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 8.1169108058e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.9784731679e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.5677392225e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.9430614609e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.2851164199e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.0524872564e-13, 5.3000000000e+05, 
2.0085363675e+00, 1.0054465393e+03, 2.6103589749e+02, 8.5880993980e+05, 
2.3223420432e+00, 1.0480586522e+03, 3.8205373966e+02, 9.7760932772e+05, 
2.3351651150e+00, 1.0523983786e+03, 3.8127782708e+02, 9.8624791674e+05, 
2.3243028102e+00, 1.0476863243e+03, 3.8230272761e+02, 9.8194932279e+05, 
2.3013312888e+00, 1.0428638184e+03, 3.8094695325e+02, 9.7323155624e+05, 
2.3134147503e+00, 1.0471322932e+03, 3.8043163307e+02, 9.7750843538e+05, 
2.3201861778e+00, 1.0478817812e+03, 3.8240734030e+02, 9.8052689372e+05, 
2.3108562321e+00, 1.0471200259e+03, 3.8218245890e+02, 9.7679655466e+05, 
2.3172611220e+00, 1.0502537245e+03, 3.8196879331e+02, 9.7962217501e+05, 
2.3149413401e+00, 1.0499920314e+03, 3.8276129066e+02, 9.7922161197e+05, 
2.3167793781e+00, 1.0506505668e+03, 3.8166836580e+02, 9.7951266405e+05, 
2.3277367698e+00, 1.0520963285e+03, 3.8272730279e+02, 9.8333583449e+05, 
2.3322691021e+00, 1.0533630713e+03, 3.8317430119e+02, 9.8461553067e+05, 
2.3297772436e+00, 1.0556842515e+03, 3.8482110078e+02, 9.8454509667e+05, 
2.3204604129e+00, 1.0564276453e+03, 3.8485792361e+02, 9.8165205064e+05, 
2.3183464880e+00, 1.0565491097e+03, 3.8441483906e+02, 9.8096354251e+05, 
2.3220255426e+00, 1.0577518873e+03, 3.8466016835e+02, 9.8196146712e+05, 
2.3249391071e+00, 1.0569500418e+03, 3.8452238333e+02, 9.8254526709e+05, 
2.3294669555e+00, 1.0595936532e+03, 3.8558656188e+02, 9.8474975342e+05, 
2.3298354038e+00, 1.0628879247e+03, 3.8742530069e+02, 9.8566489831e+05, 
2.3175782976e+00, 1.0604567576e+03, 3.8633970543e+02, 9.8140700160e+05, 
2.3191673877e+00, 1.0644484502e+03, 3.8707846739e+02, 9.8183541136e+05, 
2.3280864682e+00, 1.0654206004e+03, 3.8773924245e+02, 9.8440994681e+05, 
2.3432024749e+00, 1.0682566374e+03, 3.8803933305e+02, 9.9033781103e+05, 
2.3511864082e+00, 1.0696620920e+03, 3.8904085960e+02, 9.9414534885e+05, 
2.3409678930e+00, 1.0695865009e+03, 3.9016565776e+02, 9.9082467694e+05, 
2.3249872925e+00, 1.0668031818e+03, 3.8870558051e+02, 9.8451450870e+05, 
2.3235938176e+00, 1.0676604187e+03, 3.8829478544e+02, 9.8342769042e+05, 
2.3308464754e+00, 1.0685230125e+03, 3.8847804690e+02, 9.8612881630e+05, 
2.3397833898e+00, 1.0705667650e+03, 3.8931823492e+02, 9.8982013853e+05, 
2.3430727163e+00, 1.0722512602e+03, 3.9034017770e+02, 9.9153938462e+05, 
2.3382211957e+00, 1.0703922190e+03, 3.8971319070e+02, 9.8968854847e+05, 
2.3351871205e+00, 1.0701747119e+03, 3.8969123745e+02, 9.8849092891e+05, 
2.3328629308e+00, 1.0708502944e+03, 3.8995722440e+02, 9.8761463138e+05, 
2.3429335208e+00, 1.0803785627e+03, 3.9259083823e+02, 9.9153934292e+05, 
2.3589443222e+00, 1.0934536900e+03, 3.9688097459e+02, 9.9747254666e+05, 
2.3685296129e+00, 1.1012935372e+03, 3.9962547011e+02, 1.0009854734e+06, 
2.3689524019e+00, 1.1030510949e+03, 4.0086091596e+02, 1.0016642693e+06, 
2.3617960490e+00, 1.1016472799e+03, 4.0177487023e+02, 9.9972831333e+05, 
2.3590356357e+00, 1.1021100697e+03, 4.0289637513e+02, 9.9960176244e+05, 
2.3610257007e+00, 1.1040444751e+03, 4.0332994514e+02, 1.0010910196e+06, 
2.3679276608e+00, 1.1050659286e+03, 4.0223644840e+02, 1.0037427740e+06, 
2.3711985331e+00, 1.1031640387e+03, 4.0088288750e+02, 1.0041534184e+06, 
2.3697404701e+00, 1.0997319521e+03, 3.9977516556e+02, 1.0025683989e+06, 
2.3693646073e+00, 1.0989555984e+03, 4.0007272791e+02, 1.0016748161e+06, 
2.3770225214e+00, 1.1052583148e+03, 4.0197465464e+02, 1.0047684988e+06, 
2.3840148509e+00, 1.1157728860e+03, 4.0577532130e+02, 1.0091938297e+06, 
2.3788721464e+00, 1.1173148539e+03, 4.0791333851e+02, 1.0078235222e+06, 
2.3673817156e+00, 1.1084324759e+03, 4.0525876664e+02, 1.0027752036e+06, 
2.3569326425e+00, 1.0958440828e+03, 3.9980890379e+02, 9.9839108483e+05, 
2.3553241565e+00, 1.0938277800e+03, 3.9741599540e+02, 9.9852590017e+05, 
2.3682614122e+00, 1.1014382738e+03, 3.9959741732e+02, 1.0020985441e+06, 
2.3807968955e+00, 1.1108611636e+03, 4.0315336037e+02, 1.0048465492e+06, 
2.3734957368e+00, 1.1115168282e+03, 4.0443558850e+02, 1.0039936787e+06, 
2.3626226038e+00, 1.1058993923e+03, 4.0301662269e+02, 1.0012556321e+06, 
2.3693347032e+00, 1.1000489607e+03, 3.9899283969e+02, 1.0003768512e+06, 
2.3741388452e+00, 1.1009563598e+03, 3.9831220230e+02, 1.0019090092e+06, 
2.3623408222e+00, 1.1062496726e+03, 4.0252664899e+02, 1.0029067890e+06, 
2.3628271006e+00, 1.1104730515e+03, 4.0647963633e+02, 1.0023123556e+06, 
2.3649166624e+00, 1.0992354651e+03, 4.0079088118e+02, 9.9959434404e+05, 
2.3499234915e+00, 1.0866224551e+03, 3.9486383031e+02, 9.9567085638e+05, 
2.3550587425e+00, 1.1037702866e+03, 4.0505641717e+02, 9.9961144319e+05, 
2.3718701425e+00, 1.1171928742e+03, 4.1065297017e+02, 1.0039052367e+06, 
2.3577011641e+00, 1.0773778756e+03, 3.8272643437e+02, 9.9359551241e+05, 
2.1887803748e+00, 1.0893435883e+03, 3.3377416912e+02, 9.3465167629e+05, 
1.6006132256e+00, 9.4854162773e+02, 1.4419539807e+02, 7.0362626295e+05, 
1.2091190709e+00, 8.2607510104e+02, 1.6882741525e+01, 5.4897614929e+05, 
1.1601186103e+00, 8.0613434652e+02, 2.0935640459e-01, 5.3029022456e+05, 
1.1594202899e+00, 8.0577624830e+02, -7.8804965958e-12, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.6496319817e-12, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 5.5334366299e-15, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -6.0899712930e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.5275480068e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.4167017241e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.8050739856e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -6.9282835252e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.6778628730e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.5621533128e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.2688330120e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.4377162115e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.2536422374e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -3.3403185118e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.0666233694e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 9.8442917970e-15, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 6.3244547778e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 9.1687344868e-15, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 4.4141875755e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.9626910375e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.2934725731e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 5.6974455920e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.2424789031e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -7.3942744179e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -7.3217571875e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.0086057868e-14, 5.3000000000e+05, 
