0, 3080, 4,
1.1594202899e+00, 8.0577624830e+02, -1.0218573183e-14, 5.3000000000e+05, 
1.2612221950e+00, 8.5183608029e+02, 4.2782395987e+00, 5.7182164536e+05, 
1.8147212825e+00, 1.0192814849e+03, 3.5094907862e+02, 7.9755712411e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.3241774033e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 4.6072174165e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.3898902676e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.0956436923e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.1727260720e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 9.4194061922e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -6.4960209265e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 8.1456359015e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.6832465553e-14, 5.3000000000e+05, 
1.3788834939e+00, 9.0282514651e+02, 4.2031086977e+01, 6.1991862273e+05, 
1.7437230006e+00, 1.0469467486e+03, 1.1065964317e+02, 7.7427607056e+05, 
1.6463085507e+00, 9.9400518542e+02, 1.5242198601e+02, 7.2963317807e+05, 
1.7260284073e+00, 1.0081178584e+03, 1.9997335925e+02, 7.5740429192e+05, 
1.8041036825e+00, 1.0230510364e+03, 2.5121242755e+02, 7.8907170361e+05, 
1.7559056243e+00, 1.0036683359e+03, 2.7501785011e+02, 7.7004882618e+05, 
1.7770864409e+00, 1.0123121442e+03, 2.9128864021e+02, 7.8012231340e+05, 
1.7933495953e+00, 1.0151845322e+03, 3.0302602030e+02, 7.8684822529e+05, 
1.8151606216e+00, 1.0218540292e+03, 3.1449964331e+02, 7.9623778748e+05, 
1.7929995290e+00, 1.0126865802e+03, 3.1807983387e+02, 7.8715893472e+05, 
1.8097816922e+00, 1.0180495557e+03, 3.2642070957e+02, 7.9480844675e+05, 
1.8067517277e+00, 1.0164899985e+03, 3.2785900869e+02, 7.9362307129e+05, 
1.8109145335e+00, 1.0169450737e+03, 3.3458883454e+02, 7.9568933352e+05, 
1.8055861391e+00, 1.0181500999e+03, 3.3105570138e+02, 7.9440205699e+05, 
1.8120565572e+00, 1.0212739713e+03, 3.3104304507e+02, 7.9736042033e+05, 
1.8123113329e+00, 1.0207522887e+03, 3.3370478438e+02, 7.9761837762e+05, 
1.7983553845e+00, 1.0162931891e+03, 3.3364468988e+02, 7.9226363246e+05, 
1.7969500595e+00, 1.0136856624e+03, 3.3779468196e+02, 7.9127671742e+05, 
1.8068079321e+00, 1.0164296368e+03, 3.4125301178e+02, 7.9501759437e+05, 
1.8026479506e+00, 1.0164106758e+03, 3.3741333272e+02, 7.9331897354e+05, 
1.8039976156e+00, 1.0157614171e+03, 3.3897812986e+02, 7.9358423081e+05, 
1.8010173359e+00, 1.0142344589e+03, 3.3929186767e+02, 7.9171202166e+05, 
1.8197742859e+00, 1.0172327866e+03, 3.4983217393e+02, 7.9876250103e+05, 
1.8126078446e+00, 1.0170637127e+03, 3.4608670688e+02, 7.9644303985e+05, 
1.8123606736e+00, 1.0169629519e+03, 3.4526728277e+02, 7.9616743340e+05, 
1.8073505474e+00, 1.0153566354e+03, 3.4608255792e+02, 7.9405480582e+05, 
1.8115690793e+00, 1.0164823153e+03, 3.5057220556e+02, 7.9615964309e+05, 
1.8089837135e+00, 1.0174310758e+03, 3.4912712089e+02, 7.9574504797e+05, 
1.8079105313e+00, 1.0165113063e+03, 3.4988120236e+02, 7.9511720065e+05, 
1.8160401110e+00, 1.0194567287e+03, 3.5151136606e+02, 7.9838830261e+05, 
1.8144318402e+00, 1.0191720683e+03, 3.5011882119e+02, 7.9754036085e+05, 
1.8183757339e+00, 1.0180633717e+03, 3.5533774896e+02, 7.9872398041e+05, 
1.8170798590e+00, 1.0171877541e+03, 3.5727389666e+02, 7.9820635245e+05, 
1.8136782875e+00, 1.0179470877e+03, 3.5266021095e+02, 7.9698689312e+05, 
1.8046165622e+00, 1.0215357418e+03, 3.3794102864e+02, 7.9352936164e+05, 
