0, 799, 4,
1.1594202899e+00, 8.0577624830e+02, -1.8438842518e-13, 5.3000000000e+05, 
1.5501585801e+00, 8.9208875067e+02, 1.6552660163e+01, 6.7928542179e+05, 
2.3005733154e+00, 1.0523677706e+03, 3.8168557426e+02, 9.7526227928e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.9612045026e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -6.6111267066e-15, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -2.3307565629e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.6297659753e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -9.8978615813e-14, 5.3000000000e+05, 
2.1910347927e+00, 1.0401192524e+03, 2.1784645877e+02, 9.2985409745e+05, 
2.2694418109e+00, 1.0303055631e+03, 3.6205858230e+02, 9.5873324102e+05, 
2.2884396230e+00, 1.0373369744e+03, 3.7903635377e+02, 9.6956792546e+05, 
2.3346333997e+00, 1.0490230890e+03, 3.7882364910e+02, 9.8694790133e+05, 
2.3330103622e+00, 1.0470806811e+03, 3.8199369885e+02, 9.8891915901e+05, 
2.3026290274e+00, 1.0423029541e+03, 3.8086446623e+02, 9.7804880280e+05, 
2.3005800185e+00, 1.0452858484e+03, 3.7953729008e+02, 9.7681099850e+05, 
2.3077208434e+00, 1.0499565642e+03, 3.8258471831e+02, 9.7850851670e+05, 
2.3070623343e+00, 1.0492620961e+03, 3.8160817970e+02, 9.7797060861e+05, 
2.3141521398e+00, 1.0502376619e+03, 3.8205280866e+02, 9.8054492240e+05, 
2.3149482571e+00, 1.0524400967e+03, 3.8334089578e+02, 9.8045205975e+05, 
2.3100811408e+00, 1.0518773775e+03, 3.8303251406e+02, 9.7863792270e+05, 
2.3181081337e+00, 1.0539752247e+03, 3.8272362265e+02, 9.8160445814e+05, 
2.3366934999e+00, 1.0561375202e+03, 3.8345619091e+02, 9.8867835570e+05, 
2.3420609618e+00, 1.0555755443e+03, 3.8437451589e+02, 9.9098864759e+05, 
2.3200385444e+00, 1.0533167994e+03, 3.8554990061e+02, 9.8266214668e+05, 
2.2969783044e+00, 1.0514271743e+03, 3.8419868089e+02, 9.7381950934e+05, 
2.3272926600e+00, 1.0655131340e+03, 3.8346122426e+02, 9.8395323478e+05, 
2.3578620462e+00, 1.0909927623e+03, 3.9125703807e+02, 9.9590394358e+05, 
2.3670989592e+00, 1.1101148783e+03, 4.0021352157e+02, 1.0022561231e+06, 
2.3730253321e+00, 1.1179539744e+03, 4.0679300388e+02, 1.0052301191e+06, 
2.3708296667e+00, 1.1168635387e+03, 4.0793088865e+02, 1.0052875442e+06, 
2.3626507192e+00, 1.1014291144e+03, 4.0193590253e+02, 1.0008592085e+06, 
2.3602296503e+00, 1.0924918525e+03, 3.9892597045e+02, 9.9745224590e+05, 
2.3601414554e+00, 1.0987992641e+03, 4.0237099292e+02, 9.9932212827e+05, 
2.3531850697e+00, 1.0914116551e+03, 4.0086176264e+02, 9.9555671909e+05, 
2.3598380964e+00, 1.0924717639e+03, 4.0180847242e+02, 9.9725928950e+05, 
2.3987194922e+00, 1.1164371526e+03, 4.0685492602e+02, 1.0121516883e+06, 
2.4110286575e+00, 1.1319248708e+03, 4.0885386760e+02, 1.0206121498e+06, 
2.3892051107e+00, 1.1070209218e+03, 3.9955754876e+02, 1.0093292547e+06, 
2.3598282592e+00, 1.0780151759e+03, 3.9942104185e+02, 9.9481743430e+05, 
2.3115839656e+00, 1.1095369688e+03, 4.0900950054e+02, 9.8281090942e+05, 
1.8621510454e+00, 1.0153011649e+03, 2.0864797263e+02, 8.0484421835e+05, 
1.2616457288e+00, 8.4430916401e+02, 3.6341652695e+01, 5.6978813376e+05, 
1.1594202899e+00, 8.0577624830e+02, 9.1612633698e-10, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 4.4568861855e-10, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 4.2079351509e-11, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.4623987666e-11, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.9429055494e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 1.4140600312e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -3.5743843499e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.8600002322e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 3.9175131346e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 7.8718806384e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.2761401366e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 5.6509374188e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -4.9834861406e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 5.3855038468e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 8.2188221068e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -9.0515207768e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, 2.3436383035e-13, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -1.9732934167e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -5.3245846411e-14, 5.3000000000e+05, 
1.1594202899e+00, 8.0577624830e+02, -9.5008392317e-14, 5.3000000000e+05, 
